"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26312,,"March 05, 2026",,"Tomum Minoxidil Hair Serum Spray Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Distributed by Belleka","Tomum Hair Regrowth Treatment with Minoxidil for Men and Women Spray Bottles","This recall involves spray bottles for Tomum Minoxidil Hair Growth Treatment, 100 mL.&nbsp; The spray bottles are silver with a blue wraparound label and black cap. The bottles are packaged in a blue box and both the bottle and box have “TOMUM” and “Hair Growth Treatment” printed on labels located on their fronts.","The hair serum contains minoxidil, which must be in child-resistant packaging as required by the Poison Prevention Packaging Act. The hair serum’s bottles are not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 27,400","None reported","Consumers should secure the recalled serum bottles out of sight and reach of children immediately and contact Belleka for a free replacement product, including two child-resistant bottles of serum (60 mL per unit). Consumers will be asked to dispose of the recalled product bottle and send a photo of the bottle in the trash to Belleka at&nbsp;tomumcs@gmail.com.","Sold Online At","Amazon.com from March 2025 through September 2025 for about $20.",,,"Belleka Inc, dba TOMUM, of China",China,Retailers:,"Chifengrongxiangshangmaoyouxiangongsi, dba Haircare Solution, of China; SOLUVIA LLC, of Brooklyn, New York, US; Xingchang Technology Co., Ltd., dba Xingchang, of China."
26273,,"February 19, 2026",,"Joly’s Recalls 80% Vinegar Due to Risk of Serious Injury or Death from Poisoning and Chemical Burns; Violates FHSA Labeling Requirements","Joly’s 80% Vinegar (32 oz, pack of two)","This recall involves Joly’s 80% Vinegar (32-ounce, pack of two). The vinegar comes in a white capped transparent bottle with an orange and red label with white lettering that has “Joly’s” brand, “80% Vinegar” and “Dilutes to 5 Gallons”. There are no other markings on the container.","The recalled vinegar product violates the precautionary labeling requirements under the&nbsp;https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… Hazardous Substances Act&nbsp;(FHSA)&nbsp;because the hazardous substance lacks required warning labels and first-aid treatment instructions. This poses a deadly risk of poisoning if the contents are swallowed and a serious injury from chemical burns to the skin and eyes if improperly handled.",,,Refund,"About 450","None reported","Consumers should move the vinegar products out of sight and reach of children immediately and&nbsp;contact Joly’s to receive a full refund and disposal instructions. Consumers will be asked to send an email to&nbsp;jolysllc@gmail.com with a photo of the recalled product in its original packaging and “RECALLED” printed on the container.","Sold Online At","Amazon.com from May 2025 through November 2025 for about $23.",,"Joly’s LLC, of Orlando, Florida",,"United States",Retailer:,"Joly’s LLC, dba Josie’Store, of Orlando, Florida"
26252,,"February 05, 2026",,"Scepter Fuel Containers Recalled Due to Risk of Serious Injury or Death from Flash Fire, Burn and Child Poisoning; Violates Mandatory Standards for Portable Fuel Containers; Imported by Mameix Retail","Scepter Gas and Oil Combination Fuel Containers","This recall involves Scepter B62 gas and oil fuel containers. The recalled combination fuel containers are red with black caps and yellow spouts on each end. They have dual chambers with a 6-liter gas capacity on one side and 2.5-liter oil capacity on the other. “Scepter” and “Essence Danger” are embossed on the side of the container.","The recalled fuel containers violate the mandatory safety standards for portable fuel containers because they lack flame mitigation devices required under the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">Portable Fuel Container Safety Act, posing a deadly risk of flash fire. In addition, the Children’s Gasoline Burn Prevention Act requires all closures on portable gasoline fuel containers to be child resistant. The spout on the product is not child-resistant, posing a risk of burn and poisoning to children.&nbsp;",,,Refund,"About 700  ","None reported","Consumers should immediately stop using the recalled fuel containers, place them out of reach of children and contact Mameix Retail for a full refund. Consumers will be asked to write “Recalled” with permanent marker on the container and submit a photo of it in the trash to scepterrecall@gmail.com.&nbsp;","Sold Online At","Amazon.com from August 2024 through May 2025 for about $40.&nbsp;&nbsp;","Mameix Retail, Inc. of Canada",,,Canada,,
26243,,"February 05, 2026",,"GM Gumili Wintergreen Essential Oil Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by Gumili Beauty","GM Gumili Wintergreen Essential Oil Bottles","This recall involves GM Gumili Wintergreen Essential Oil.&nbsp; The essential oil was sold in an amber glass bottle with a black screw-on cap and a white label with the “GM” logo, “gumili,” “wintergreen essential oil” and an image of a wintergreen plant. The packaging box is white with blue text with the “GM” logo, “gumili,” “essential oil” and “100% pure &amp; natural” on the front. The back of the box has directions, safety instructions and the manufacturer’s information. A black dropper cap was included with the oil.","The essential oil contains methyl salicylate, which must be in child-resistant packaging, as required by the https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… lang=""EN-US"">Poison Prevention Packaging Act (PPPA). The packaging for the products is not child resistant, posing a risk of poisoning if the contents are swallowed by young children.",,,"Refund, Replace","About 2,970","None reported","Consumers should immediately secure the recalled essential oil out of the sight and reach of children and contact the firm to receive a full refund or free replacement bottle of essential oil. Consumers will be asked to take a photo of their product in the trash in order to receive a refund or replacement and email the photo to gumilius@outlook.com.","Sold Online At","Amazon.com by Gumili Beauty from October 2023 through November 2025 for about $8.&nbsp;",,,,China,Retailer:,"Guangzhou Feifan Kuajing Supply Chain Co., Ltd. dba Gumili Beauty, of China"
26242,,"February 05, 2026",,"Organic Zing Birch Essential Oil Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by Linkers","Organic Zing Birch Oil Bottles","This recall involves Organic Zing Birch Oil bottles. The recalled essential oil’s amber bottles have black continuous thread caps and a beige and green label with white and black labeling. The Organic Zing logo, “Birch Oil” and “Pure &amp; Natural” are printed on the front of the bottle. The Organic Zing logo and “Pure &amp; Natural” are printed on the front of the bottles’ beige and green box packaging and “Made in India” on the back.","The essential oil bottles contain methyl salicylate, which must be in child-resistant packaging, as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act (PPPA). The bottles for the products are not child resistant, posing a risk of poisoning if the contents are swallowed by young children.",,,Refund,"About 940","None reported","Consumers should immediately secure the recalled essential oil bottles out of the sight and reach of children and contact Linkers for a full refund and instructions on destroying the recalled bottles. Consumers will be asked to pour the contents of the bottle into the trash and email a photo of the disposed bottle to&nbsp;admin@linkersecomm.com.","Sold Online At","Amazon.com from January 2024 through November 2025 for about $20.",,"Salvia Cosmeceuticals, of India",,India,Retailer:,"Linkers, of India"
26229,,"February 05, 2026",,"Zan International Trading Recalls Lotus Joy Sweet Birch Essential Oil Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging","Lotus Joy Organic Sweet Birch Essential Oil Bottles","This recall involves Lotus Joy Organic Sweet Birch Essential Oil bottles. The essential oil comes in 0.34 fluid ounce amber bottles with a black cap and a separate glass dropper with a black cap. The white label on the bottle has orange and black text with “LotusJoy”, “organic”, “sweet birch”, “essential oil and “betula lenta” printed on the front and ingredients and directions on the back. The packaging box is blue and has the same information as the front of the bottle in orange and black lettering and has directions and the distributor’s information on the back.","The essential oil bottles contain methyl salicylate, which must be in child-resistant packaging, as required by the https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… lang=""EN-US"">Poison Prevention Packaging Act (PPPA). The bottles are not child-resistant, posing a risk of poisoning if the contents are swallowed by young children.",,,Refund,"About 470","None reported","Consumers should immediately secure the recalled essential oil out of the sight and reach of children and contact Zan International Trading for a full refund. Consumers will be asked to pour the contents in the trash and take a photo of the bottle in the trash and email it to Zan International Trading at zantradellc@hotmail.com.","Sold Online At","Amazon.com from August 2025 through November 2025 for about $13.",,"Guangzhou Tenghui Fragrance &amp; Flavor Co., Ltd., of China","Zan International Trading & Services LLC, of Rockville, Maryland",China,,
26234,,"January 29, 2026",,"Bazic Products Recalls Bazic Silicone Glue Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child Resistant Packaging and FHSA Labeling Requirements","Bazic Silicone Glue","This recall involves Bazic Silicone Glue, Model 2030.&nbsp; The glue comes in a transparent plastic bottle with a blue nozzle top and a blue and black wraparound label bearing instructions and warning statements. The glue’s label reads “Bazic”, “Silicone Glue”, and “Clear Adhesive Sealant” on the front, with cautionary statements and “2030” above the barcode on its side. Only Bazic Silicone Glue with batch code “V01233-031725-70004523"" printed on the side of the bottles are included in the recall.","The glue contains methanol, which must be in child-resistant packaging, as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The glue’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children. In addition, the glue violates the labeling requirements under the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Hazardous Substances Act because it is incorrectly labeled as “Non-Toxic” and because it lacks a “highly flammable” hazard statement.",,,Refund,"About 21,170","None reported","Consumers should stop using the recalled Bazic Silicone Glue immediately and contact Bazic Products for instructions on how to submit a photo of the product to receive a full refund.Note: The recalled glue should be disposed of in accordance with any local and state regulations, contact your local hazardous waste treatment center. Do not dispose of methanol in sewers, rainwater pipes or ordinary garbage cans to avoid causing fires or environmental pollution.","Sold At","Shims Bargain Inc., Henry Lamond Co. Ltd., Universal Wholesale and D’notions &amp; crafts stores nationwide and online at Amazon.com and Walmart.com from May 2025 through October 2025 for about $3.","Bangkit USA Inc, dba Bazic Products, of El Monte, California",,,China,,
26231,,"January 29, 2026",,"Viofairy Hair Growth Serum Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by FDAF","Viofairy Hair Growth Serum","This recall involves Viofairy Hair Growth Serum. The hair serum comes in black and gold packaging and a black bottle with gold and white label and a black cap. The hair serum has “VIOFAIRY HAIR GROWTH SERUM” and “5% MINOXIDIL With BIOTIN” printed on labels located the front of the bottle.","The serum bottles contain minoxidil, which must be in child-resistant packaging, as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The serum’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 8,600","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children and contact FDAF for instructions on how to destroy the recalled bottles and to receive a free replacement. Consumers will be asked to pour the contents of the bottle into the trash and email a photo of the bottle in the trash to&nbsp;sesuall@outlook.com.","Sold Online At","Amazon.com from January 2024 through September 2025 for about $15.",,"Guangzhou Runshu BioTech Co., Ltd. of China",,China,Retailer:,"Shen Zhen Shi Yi Jiu Si Mao Yi You Xian Gong Si &nbsp; dba FDAF, of China"
26221,,"January 29, 2026",,"Mindbodygreen Recalls Ultimate Multivitamin+ Dietary Supplement Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging","Ultimate Multivitamin+ Dietary Supplement Bottles","This recall involves Mindbodygreen Ultimate Multivitamin+ dietary supplement bottles with the following UPC, lot numbers and manufacturing dates (Month/Year format). The dietary supplements come in eight-ounce amber glass bottles with black caps, each containing 60 capsules. The UPC, lot numbers and manufacturing dates are printed on the bottle.UPCLot NumberManufacturing Date8500279751770515I109/20210130B201/20220187I208/20220324J210/20220309A312/20220368L212/20220272B302/2023&nbsp;0408H306/20230143A412/20230179C402/2024850027975429402113105/2024403321107/2024408084110/2024A01061103/2025A02121103/2025","The bottles are filled with dietary supplements containing iron, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 148,370","None reported","Consumers should immediately secure the recalled bottles out of sight and reach of children and contact Mindbodygreen for a free, child-resistant replacement cap. Once the supplements are secured, consumers can continue to use the supplements as directed.","Sold Online At","Mindbodygreen.com from November 2021 through November 2025 for between $40 and $70, depending on subscription.",,"Arizona Nutritional Supplements, of Chandler, Arizona and VitaQuest, of Caldwell, New Jersey","Mindbodygreen, of Miami, Florida",USA,,
26218,,"January 29, 2026",,"Sefudun 5% Minoxidil Hair Growth Serum Kits Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by Nengmiaokeji","Sefudun Hair Growth Serum Kits","This recall involves Sefudun 5% Minoxidil Hair Growth Serum Kit . The hair serum comes in a black glass bottle with a black and golden dropper cap and a black and white label. The kit included a black plastic applicator. The hair serum has “SEFUDUN HAIR GROWTH SERUM” and “BIOTIN 5% MINOXIDIL” printed on labels located on the front of the bottle.","The hair growth serum contains minoxidil, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The serum bottle is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 7,000","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children and contact Nengmiaokeji for a free replacement bottle of serum. Consumers will be asked to pour the contents of the bottle into the trash, take a photo of the empty bottle in the trash and email it to&nbsp;sesuall@outlook.com.","Sold Online At","Amazon.com from December 2023 through August 2025 for about $15.",,,"Ganzhounengmiaokejiyouxiangongsi dba Nengmiaokeji, of China",China,,
