"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-148,,"December 11, 2025",,"Luyuan Recalls Youth ATVs Due to Risk of Serious Injury or Death from Crash Hazard; Violate Mandatory Standard for All-Terrain Vehicles","X-Pro Eagle 40cc Youth ATVs and FRP Sahara 40cc Youth ATVs","This recall involves the X-Pro Eagle 40cc Youth ATV, Model CARTOONS and the FRP Sahara 40cc Youth ATV, Model SHR 40-RED-M. The ATVs come in various colors. Look for “X PRO” labels on the sides of the plastic body or “FRP” labels on the front small plastic cover as well as the sides of the plastic body.","The recalled youth ATVs violate the mandatory ATV safety standard. The youth ATVs’ mechanical suspension fails to comply with safety requirements, posing a crash hazard. Additionally, the handlebars pose a laceration hazard, if the child rider’s body or head impacts the handlebars at high speed. ATVs that fail to meet the mandatory safety requirements pose a risk of serious injury or death.",,,Repair,"About 2,290","None reported","Consumers should immediately stop using the X-Pro Eagle 40cc Youth ATVs and FRP Sahara 40cc Youth ATVs and contact Luyuan for a free repair from an authorized repair shop.","Sold Online At","X-Pro Eagle 40cc Youth ATVs were sold online at Walmart.com, Powersportsmax.com, and Xprousa.com from June 2025 through September 2025 for between $480 and $500. FRP Sahara 40cc Youth ATVs were sold online at Amazon.com, Temu.com, and Frpmoto.com from April 2025 through September 2025 for between $460 and $480.","Luyuan Inc., of City of Industry, California","Yongkang Luyuan Industrial &amp; Trading Co., Ltd., of China",,China,,
25-374,,"July 03, 2025",,"509 Recalls Helmets Due to Risk of Head Injury","509 helmets and 509 for Polaris helmets","This recall involves 509 Tactical 3.0 (Youth, Mountain, and Trail) helmets and 509 for Polaris Tactical 3.0 (Youth and Mountain) helmets. This recall also involves small and medium size 509 Tactical 2.0 helmets, 509 Tactical 2.0 helmets with Fidlock®, and 509 for Polaris Tactical 2.0 helmets, which were all manufactured in 2023. This recall also involves 509 and 509 for Polaris helmets with Fidlock®, including Tactical 2.0, Altitude 2.0, Delta R3L, Delta R4, Delta V, Mach III, Mach IV and Mach V (manufactured from 2020 to present with a stainless-steel glide bar). The 509 logo and “FIVE O NINE” are printed on the 509 helmets. The 509 logo and “Polaris” are printed on the 509 for Polaris helmets.Brand/ModelSizesColorsYear(s) of ManufactureRemedy509 Tactical 3.0 Helmets (Youth, Mountain, and Trail)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 for Polaris Tactical 3.0 Helmets (Youth and Mountain)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 Tactical 2.0 HelmetsSmall/MediumVarious&nbsp;2023Replacement, refund or credit509 for Polaris Tactical 2.0 HelmetsSmall/MediumVarious2023Replacement, refund or credit509 Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R3L Helmets with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 for Polaris Delta R3L Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R4 Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta R4 with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 Delta V Helmets with Fidlock®Adult S to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta V Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Mach III Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach IV Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach V Helmets with Fidlock®Adult S to 3XLVarious2020 to presentRepair","The recalled helmets fail to provide sufficient protection in the event of a crash, posing a risk of head injury.",,,"Refund, Replace, Repair","About 201,200 (In addition, about 26, 800 in Canada) ","The firm received one incident where the rider’s helmet became detached during a crash, resulting in a concussion.","Consumers should immediately stop using the recalled helmets.&nbsp;Consumers with a recalled “509” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact 509 for instructions on how to participate in the recall and to receive a choice of a refund (if purchased online), or a credit to be used on 509’s website or a replacement helmet.&nbsp;Consumers with a recalled “509 for Polaris” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact Polaris for a choice of a refund, a credit to use at a Polaris dealership or on the Polaris website, or a replacement helmet. Proof of purchase is not required. All helmets should be discarded in the local household trash after consumers have confirmed their helmet is being recalled by 509 or Polaris and follow the destruction instructions located on the website.Polaris is also providing their customers who have the recalled 509 and 509 for Polaris helmets with Fidlock®, with instructions on how to inspect the webbing on the chin strap to make sure it is repaired, by routing it correctly. 509 and Polaris are contacting all known purchasers directly.","Sold At","Online at www.ride509.com and www.polaris.com and at 509 and Polaris dealers nationwide from January 2020 through May 2025 for between $140 and $900.","Teton Outfitters LLC, dba 509, a Polaris subsidiary, of Rigby, Idaho",,,China,,
25-218,,"April 10, 2025",,"Lil Pick Up Recalls Youth All-Terrain Vehicles (ATVs) Due to Injury Hazards; Risk of Serious Injury or Death; Violation of Federal Regulations for ATVs","E-Bully Youth All-Terrain Vehicles (ATVs)","This recall involves the E-Bully Youth Electric 1000W ATVs sold under various brand names, including “Seangles” and “Offroad Mall.” The model name “E-Bully” is located on the VIN plate on the&nbsp;right front side of frame column. The ATVs have a plate on the left front side of the frame column stating, “This ATV is subject to LIL PICK UP INC’s Action Plan approved by the U.S. Consumer Product Safety Commission.” The ATVs were sold in blue, green, white, red and black colors.","The recalled youth ATVs fail to comply with the requirements of the federal mandatory ATV safety standard. The handlebars pose a laceration hazard if the child rider’s body or head impacts the handlebars at a high rate of speed. Additionally, the parking brakes fail to hold, posing a collision hazard. ATVs that fail to meet the mandatory safety requirements pose a risk of serious injury or death.",,,Repair,"About 1,300","None reported","Consumers should stop using the recalled ATVs immediately and contact Lil Pick Up for a free repair from an authorized repair shop.","Sold At","Multiple online retailers, including Amazon.com, Ebay.com, Seangles.com and other websites from September 2023 through October 2024 for about $1,000.","Lil Pick Up Inc., of Rowland Heights, California","Shandong ODES Industry Co. Ltd., of China",,China,,
25-207,,"April 03, 2025",,"Honda Recalls Accessory Heaters for Side-by-Side Vehicles Due to Fire and Burn Hazards","Accessory Heaters for Model Years 2022-2024 Honda Pioneer 1000, 2023-2025 Pioneer 700, and 2022-2024 Honda Talon 1000 Side-by-Side vehicles","This recall involves accessory heaters that are compatible with model years 2023-2025 Honda Pioneer 700 (SXS700), 2022-2024 Pioneer 1000 (SXS1000), and 2022-2024 Talon 1000 (SXS1000S) vehicles. The accessory heaters were sold separately from the vehicles.&nbsp;Affected vehicles have been fitted with the Honda accessory heater system, which has a mounted control panel on the vehicle’s dash with controls for air speed, air flow direction and temperature. Customers can enter the vehicle’s VIN at&nbsp;https://powersports.honda.com/recalls to see if the vehicle is compatible with the recalled accessory heater. Refer to the Technical Information - Vehicle Identification section in the owner’s manual to locate the vehicle’s VIN.","The recalled accessory heaters can overheat and catch fire, posing fire and burn hazards to consumers.",,,Repair,"About 2,340 Accessory Heaters","Honda has received three reports of the recalled accessory heaters overheating, including two incidents resulting in fires and vehicle damage. No injuries have been reported. ","Consumers should stop using the recalled accessory heaters immediately and contact an authorized Honda Powersports dealer to schedule an appointment for a free repair. Honda is contacting all known purchasers directly.&nbsp;","Sold At","Authorized Honda Powersports dealers nationwide from January 2022 through September 2024 for between $900 and $1,040.",,,"American Honda Motor Co. Inc, of Torrance, California","United States",,
25-150,,"February 20, 2025",,"SuperATV Recalls Carrier Bearings for Polaris RZR XP and Turbo S Recreational Off Highway Vehicles Due to Fire and Burn Hazards","SuperATV carrier bearings for Polaris RZR XP Turbo or Turbo S Recreational Off Highway Vehicles (ROVs)","This recall involves three models of SuperATV carrier bearings sold from April 2017 until September 2022 for installation in Polaris RZR XP Turbo or Turbo S vehicles. The recalled carrier bearings are silver and black and have “SuperATV” etched on top of the carrier bearing housing. The carrier bearing is located under the center console tunnel which is behind the seats on the two-seat model and behind the rear seats on the four-seat models.&nbsp;The following carrier bearing models are subject to this recall if purchased for the Polaris RZR XP Turbo or Turbo S vehicles in the identified date ranges:RECALLED CARRIER BEARING MODELPOLARIS RZR XP TURBO OR TURBO SPURCHASE DATE RANGEBEA01-0014/13/17 through 4/27/19BEA01-0025/19/18 through 1/22/19BEA01-005 (Rev A00 and A01)1/25/19 through 9/2/22","When the recalled carrier bearings are installed in a Polaris RZR XP Turbo or Turbo S vehicle and the fuel tank expands, the drive shaft can come in contact with the fuel tank, causing the tank to develop a hole or crack. This can cause the fuel tank to leak gasoline, posing fire and burn hazards.",,,Replace,"About 10,700","SuperATV has received 24 reports of the fuel tank contacting the prop shaft, including 19 reports that a hole or crack had formed in the fuel tank, including one reported fire.  No injuries have been reported.","Consumers should immediately stop using ROVs with the recalled carrier bearings, remove them from the Polaris RZR XP Turbo or Turbo S vehicles, and register online at https://form.jotform.com/243023918871055 to receive a postage-paid label to return the recalled bearings. SuperATV will mail consumers free replacement carrier bearings upon receipt of the recalled carrier bearings. SuperATV is notifying all known purchasers directly.&nbsp;No purchase receipt is required.","Sold At","Online at www.superatv.com and at off-road vehicle dealers nationwide from April 2017 until September 2022 for between $85 and $250 (for one carrier bearing) and between $170 and $420 (set of 2 carrier bearings).",,"SuperATV, of Madison, Indiana",,"United States and China",,
25-024,,"October 31, 2024",,"Polaris Industries Recalls Ranger XP Kinetic Recreational Off-Road Vehicles (ROVs) Due to Fire and Crash Hazards","Model Year 2023-2024 Ranger XP Kinetic Recreational Off-Road Vehicles (ROVs)","This recall involves Model Year 2023-2024 RANGER XP Kinetic Recreational Off-Road Vehicles (ROVs). The vehicles were sold in camouflage and white colors in three-seat configurations and have “POLARIS” stamped on the front grille. The model number and VIN are printed on a portion of the left rear frame (on the driver’s side of the vehicle) under the cargo box.","The high voltage cables on the motor controller unit can be loose, causing the cable to arc or overheat while in use, posing fire and crash hazards and risk of serious injury.",,,Repair,"About 1,400 (In addition, about 70 were sold in Canada)","The firm has received one report of unintended acceleration and fire and six reports of melting on or around the motor controller unit. No injuries have been reported.","Consumers should immediately stop using the recalled ROVs and contact an authorized Polaris dealer to schedule a free inspection of the motor controller unit and its components. If the high voltage cables are loose or damaged Polaris will provide a free repair at the dealer’s location. Polaris is contacting registered owners directly.","Sold At","Polaris dealers nationwide from May 2023 through September 2024 for between $24,900 and $37,800.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
25-021,,"October 24, 2024",,"Ricky Powersports Recalls Youth and Adult All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death and Violation of Federal ATV Safety Regulations","Ricky Powersports Tumble Weed Youth and TGB Blade Adult All-Terrain Vehicles (ATVs)","The recall involves Ricky Powersports Tumble Weed youth ATVs, model TK-110ATV-1, and TGB Blade 600 SE adult ATVs. The Tumble Weed vehicles were sold in burgundy, purple camo, red spider, blue, black, blue spider, black spider, pink camo, leaf camo and army green camo colors and are intended for use by children ages 6 years and older. The model number is printed on an identification plate located at the front of the vehicle between the two front tires. The TGB Blade 600 SE ATVs were sold in black and are intended for use by adults ages 16 years and older. The model number is printed on an identification plate located next to the vehicle’s front right tire. Identification plates on both models state “this ATV is subject to Ricky Powersports LLC’s action plan approved by the U.S. Consumer Product Safety Commission.”","The recalled ATVs fail to comply with the requirements of the federal mandatory ATV safety regulations. The youth ATVs’ mechanical suspension fails to comply with safety requirements, posing a crash hazard. The adult ATVs’ service brakes fail to sufficiently stop the vehicle, posing a crash hazard, and the handlebars pose a laceration hazard if the adult rider’s body or head impacts the handlebars. ATVs that fail to meet the mandatory safety regulations pose a risk of serious injury or death.",,,Refund,"About 385","None reported","Consumers should stop using the recalled ATVs immediately and contact Ricky Powersports to arrange to return the ATVs for a full refund.","Sold At","Ricky Powersports dealers nationwide from January 2021 through May 2024 for between $850 and $1,100 for the youth model, and for about $9,300 for the adult model.","Ricky Powersports LLC, of Carrollton, Texas","Jiangsu Tiking Sports Vehicle Manufacturing Co. Ltd., of China (youth ATV) and Taiwan Golden Bee Co. Ltd., of Taiwan (adult ATV).",,"China and Taiwan",,
25-019,,"October 24, 2024",,"CFMOTO Recalls All-Terrain Vehicles Due to Crash Hazards","2024 CFORCE 800 Touring and 2024 CFORCE 1000 Touring All-Terrain Vehicles (ATVs)","This recall involves 2024 CFORCE 800 Touring and 2024 CFORCE 1000 Touring ATVs. The recreational off highway vehicles were sold in gray, orange, black and camouflage (camo) colors. CFMOTO is printed on the rear fender sides of the vehicle and CFORCE is printed on the upper side panels of the body. The Vehicle Identification Number (VIN) is stamped on the vehicle’s frame behind the right rear wheel.","The throttle lever on the recalled ATVs can fail to return to the idle position when a driver releases it, and the vehicle could then unexpectedly continue to accelerate, posing a crash hazard.",,,Repair,"About 2,650","CFMOTO has received four reports of the throttle failing to return to the idle position and including one report of the vehicle crashing, including one minor impact injury.","Consumers should immediately stop using the recalled ATVs and contact an authorized CFMOTO dealer to schedule a free repair at the dealership. CFMOTO has issued a stop ride notice to consumers and is contacting all registered owners and dealers directly.","Sold At","CFMOTO Powersports dealers nationwide from May 2024 through August 2024 for between $9,400 and $10,500.","CFMOTO Powersports Inc., of Plymouth, Minnesota",,,China,,
25-006,,"October 10, 2024",,"Reyhee Group and Jinling International Recall Droyd Fury Youth All-Terrain Vehicles (ATVs) Due to Laceration Hazard; Violation of Federal Regulations for ATVs","Droyd Fury Youth All-Terrain Vehicles (ATVs)","This recall involves the Droyd Fury Youth ATV, model number “XW-A01”, intended for children 6 years and older. The ATVs were sold in three colors:&nbsp; Speed Red, Power Blue and Force Green. The model name “FURY” is printed on the front and sides of the ATV. The model number can be found on the identification plate located under the front left fender, which also states, “This ATV is subject to the Jinling International, Inc. ATV Action Plan filed with and approved by the U.S. Consumer Product Safety Commission.”","The recalled youth ATVs fail to comply with the requirements of the federal mandatory ATV regulations. The handlebars pose a laceration hazard if the child rider’s body or head impacts the handlebars at a high rate of speed. ATVs that fail to meet the mandatory safety requirements pose a risk of serious injury or death.",,,Repair,"About 156","None reported","Consumers should immediately stop using the recalled Droyd ATVs and contact Reyhee Group for a free repair kit, consisting of a replacement handlebar cover and new safety warning labels. Reyhee Group is contacting all known purchasers directly.","Sold At","Online at Droyd.com, Amazon.com, Walmart.com, Target.com, Purchasingpower.com, Wellbots.com and Rideextremedirt.com from May 2024 through June 2024 for about $600.","Reyhee Group Inc., dba RGI Global, of Ontario, California","Yongkang Ruihe Metal Products Co. Ltd., of China","Jinling International Inc., of Jasper, Georgia",China,,
24-369,,"September 19, 2024",,"Polaris Recalls Sportsman All-Terrain Vehicles Due to Fire Hazard","Model Year 2023-2024 Polaris Sportsman 850, XP 1000, and XP 1000 S ATVs and fuel pump kits and fuel tank assemblies","This recall involves certain VINs of Polaris Model Year 2023-2024 Sportsman 850, XP 1000, and XP 1000 S ATVs. The recalled ATVs were sold in black, blue, camouflage, crimson, gray, green, red, silver and tan. “POLARIS” is stamped on the front side grille and “POLARIS” and “Sportsman” are printed on the sides of the vehicle. The model name is also printed on the side of the chassis. The VIN is located on the ATV’s left rear frame. In addition, this recall involves fuel pump kits (part numbers 2208595 and 2208596) and fuel tank assemblies (part numbers 2522378 and 2522379) sold as service parts.","The ATV can leak fuel at the fuel pump flange outlet, posing a fire hazard and risk of serious injury to the rider or passenger.",,,Repair,"About 10,300 ATVs and 3,158 fuel pump kits and fuel tank assemblies (In addition, about 1,500 ATVs were sold in Canada)","The firm has received 14 reports of fuel leaking from the recalled ATVs and three reports of fire.  No injuries have been reported.","Consumers should immediately stop using the recalled ATVs and contact an authorized Polaris dealer to schedule a free repair to replace the fuel pump at the dealer’s location. Polaris is contacting registered owners directly.","Sold At","Polaris dealers nationwide from July 2023 through June 2024 for between $10,600 and $18,000.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
24-326,,"August 01, 2024",,"Peace Industry Group Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death and Violation of Federal ATV Safety Regulations","Peace Sports Youth All-Terrain Vehicles (ATVs)","This recall involves Peace Industry Group “Peace Sports” 125CC Utility and Sport Youth ATVs with model numbers 512&nbsp;CY125ATV-1 and 518 CY125ATV-6. The “Peace Sports” brand name is located on the handlebar pad and side of the vehicle. The model number is located on the VIN plate in the lower section of the front frame. The ATVs have a plate on the lower front frame above the VIN plate, stating: “This ATV is subject to Peace Industry Group (USA) Inc.’s Action Plan approved by U.S. Consumer Product Safety Commission.”","The youth ATVs fail to comply with the requirements of the federal mandatory ATV safety standard. The handlebars pose a laceration hazard if the child rider’s body or head impacts the handlebars at a high rate of speed. Additionally, the parking brakes fail to hold, posing a collision hazard. The ATVs are also missing the required safety reflectors for vehicles intended for use by children 10 years and older. The 518 CY125ATV-6 model’s footguards pose a laceration, contusion, and amputation hazard if the rider’s foot enters the rear wheel environment. ATVs that fail to meet these mandatory safety requirements pose a risk of serious injury or death.",,,Refund,"About 1,000","None reported","Consumers should stop using the recalled ATVs immediately and contact Peace Industry Group for a full refund.","Sold At","AutoWorx Sales LLC, Daryl’s Motorcycle Service, Hialeah Scooters, LJS Repairs LLC, M&amp;M Small Engines, Marobo Motors, Motor Werks LLC, One Stop Automotive Repair LLC, Scooters &amp; Small Engine Repairs, Solano Cycles, Unique Motorsports, Wild Hogs Scooters and Motorsports LLC, and other authorized dealerships nationwide from April 2019 through March 2021 for about $1,110.","Peace Industry Group, of Norcross, Georgia","Zhejiang Changying Car Industry Co. LTD, of China",,China,,
24-160,,"March 14, 2024",,"Textron Specialized Vehicles Recalls Tracker Off Road OX EV Light Utility Vehicles Due to Fire Hazard Textron Specialized Vehicles Recalls Arctic Cat Catalyst 600 Snowmobiles Due to Injury Hazard","Tracker Off Road OX EV Vehicles","This recall involves Tracker Off Road OX EV vehicles with serial numbers between 8029703 to 8031430. The serial number is located under the charger receptacle.","Water can get into the lithium-ion battery pack of the Tracker OX EV vehicles, posing a fire hazard.",,,Repair,"About 500","None reported.","Consumers should immediately stop using the Tracker OX EV and contact their authorized Tracker Off Road dealer or service center to schedule a free inspection and repair of the battery module. Textron advises that until the Tracker Off Road dealer or service center has completed this service, do not charge the recalled vehicle and park the recalled vehicle outdoors at least 15 feet away from any buildings or other vehicles. Textron Specialized Vehicles is contacting all known purchasers.","Sold At","Bass Pro Shops, Cabela's stores, and Tracker Marine and off-road dealerships nationwide from January 2023 through December 2023 for between $12,000 and $13,000.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24-735,,"December 14, 2023",,"BRP US Recalls Side-By-Side Vehicles Due to Injury Hazard (Recall Alert)","Can-Am® Commander series, Defender series, Maverick Trail series equipped with an HD7 or 700 engines side-by-side vehicles (Model Year 2022 and 2023)","This recall involves Model Year 2022 and 2023 Can-Am Commander series, Defender series, Maverick Trail series equipped with an HD7 or 700 engines side-by-side vehicles with model number model year 2022 and 2023. The vehicles were sold in various colors. The brand and model name are on the vehicle’s sides.","The operator’s guide maintenance schedule section contains incorrect information regarding proper maintenance intervals for the clutch which can lead to clutch failure, including fragments to be ejected from the vehicle if not serviced, posing a risk of serious injuries.",,,Repair,"About 14,555 (In addition, about 2,285 were sold in Canada)","The firm has received one report of a clutch malfunction. No injuries have been reported.","Consumers should immediately stop using the recalled Model Year 2022 and 2023 Can-Am Commander series, Defender series, Maverick Trail series equipped with an HD7 or 700 engines side-by-side vehicles until they have reviewed the new maintenance instructions. BRP will mail a free revised maintenance information booklet to registered owners. BRP is contacting all known purchasers directly.","Sold At","BRP Can-Am authorized dealers nationwide from October 2021 through October 2023 for between $13,000 and $36,000.","BRP US, of Sturtevant, Wisconsin","&nbsp;BRP Mexico, of Mexico",,Mexico,,
