"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26349,,"March 26, 2026",,"DIY Cold Plunge Recalls Sauna Heater Kits Due to Risk of Serious Injury or Death from Fire Hazard","DIY Sauna Heater Kits","This recall involves the DIY Sauna Heater Kit. The product is a do-it-yourself kit for consumers to assemble a heating fixture with four heat-lamp bulbs (sold separately) and a metal enclosure intended for use in a separate do-it-yourself sauna enclosure, for which carpentry plans are sold separately. The Sauna Heater Kit includes a stainless steel cage (which weighs about 16 lbs., and measures 12”H x 12”W x 8”D when assembled), screws/bolts for assembly, four ceramic bulb sockets, three wire connectors, two ground pigtails, and a three-prong power cord. The recalled Sauna Heater Kit is intended to attach to a customer-built wood frame.&nbsp;&nbsp;","Electrical conductors within the sauna heater kits can overheat, posing a fire hazard and risk of serious injury or death.",,,Refund,"About 675 (In addition, about 14 were sold in Canada)","The firm has received 12 reports of units overheating. No fires or injuries have been reported.","Consumers should stop using the recalled Sauna Heater Kit immediately and register at www.diycoldplunge.com/pages/recall for a full refund. Consumers will be asked to submit written and photo proof that the product has been destroyed/disposed of or request a prepaid shipping label to return the product.&nbsp;","Sold Online At","www.diycoldplunge.com from March 2025 through February 2026 for between $400 and $500.",,"Plunge Buddy LLC, doing business as DIY Cold Plunge, of North Mankato, Minnesota",,"United States",,
26244,,"February 09, 2026",,"Airova Recalls Aroeve Air Purifiers Due to Fire and Burn Hazards","Aroeve brand air purifiers","This recall involves Aroeve brand air purifiers, model MK04. The recalled air purifiers come in black or white. The model, date code, and serial number information are printed on the product label located on the bottom of the air purifiers. The air purifiers subject to this recall were manufactured prior to July 2025 and have a serial number starting with “BN”.","The air purifiers can overheat and ignite, posing fire and burn hazards to consumers.",,,Replace,"About 191,390","Airova received 37 reports of the air purifiers overheating, including one report of fire. No injuries or property damage have been reported.","Consumers should stop using the recalled Aroeve air purifiers immediately and contact Airova for a free replacement air purifier.","Sold Online At","Amazon.com, Shopify.com, TEMU.com, and TikTok.com from September 2024 through June 2025 for between $80 and $134.","Airova, Inc. of Newark, California",,,China,,
25451,,"August 28, 2025",,"Electric Motors for Gable and Roof Mounted Attic Fans Recalled Due to Fire Hazard; Distributed by Air Vent","Electric motors for gable- and roof-mounted attic fans","This recall involves electric motors used in gable- and roof-mounted attic fans sold only from August 2003 through December 2013 with model numbers: DOW-136-0-34-XIN, DOW-136-0-26-XIN, DOW-136-0-40-XIN, DOW-136-0-40-XIN-3/4”, and D-RE-PSC-127/20-4P1SP.&nbsp; The recalled attic fan motors can be identified by the distinctive vent pattern on the motor end bells. Only attic fan motors with the distinctive vent pattern on the motor end bells are subject to the recall.","The recalled electric motor's safety cutoff may pose a risk of short circuit and fire hazard while in use.",,,Refund,"About 2.9 million","The firm has received 159 reports of incidents related to the recalled attic fan motors involving burning or fire. No injuries have been reported.","Consumers should immediately stop using the recalled electric motors and contact Air Vent for a refund. Consumers will be asked to fill out the online registration and verification form with photos of the recalled attic fan motor. Upon confirmation that the consumer has a recalled attic fan motor, the consumer will receive a refund.","Sold At","Various stores and wholesalers nationwide, including ABC Supply, Lowe’s, and Beacon, in-store and online from August 2003 through December 2013 for about $74 and $92.",,,"Air Vent Inc., of Dallas, Texas",China,,
25441,,"August 21, 2025",,"Combi Boilers Recalled Due to Burn Hazard; Manufactured by IBC Technologies","CX Series Combi Boiler","The CX Combi Boilers are single, compact residential gas boilers that provide both central heating and hot water on demand. The CX Combi Boilers are rectangular metal boxes with a control panel on the front and a red IBC label in the top left corner. Only models CX-199 and CX-150 with certain serial numbers are included in the recall. The CX-199 or CX-150 model number is located on the upper left corner of the touch screen on the front of the unit. The model and serial numbers are found on the rating plate located on the inside of the unit in the upper left corner and the serial number is outlined in rectangular boxes.&nbsp;Only CX Combi Boilers with the following model and serial numbers are included in the recall:&nbsp;CX Series boilers manufactured between April 2023 and April 2024ModelSerial Number Start&nbsp;Serial Number End&nbsp;010-130A1 / CX 199-NGICGFSW1-0199-230400064 &nbsp;ICGFSW1-0199-240300821 &nbsp;010-131A1 / CX 199-LP&nbsp;ICGFSW1-0199-230700336 &nbsp;ICGFSW1-0199-240400827 &nbsp;010-132A1 / CX 150-NG&nbsp;ICGFSW1-0150-230500056&nbsp;ICGFSW1-0150-240400582 &nbsp;010-133A1 / CX 150-LPICGFSW1-0150-230700192 &nbsp;ICGFSW1-0150-240400583 &nbsp;&nbsp;&nbsp;&nbsp;CX Series boilers manufactured between June 2024 and April 2025ModelSerial Number Start&nbsp;Serial Number End&nbsp;010-130A1 / CX 199-NGI262400165&nbsp;I162500429&nbsp;010-131A1 / CX 199-LP&nbsp;I262400137&nbsp;I162500430&nbsp;010-132A1 / CX 150-NG&nbsp;I292400198&nbsp;I102500001&nbsp;010-133A1 / CX 150-LPI442400415&nbsp;I022500103","A combi (or combination) boiler is a type of gas boiler that provides both a home’s hot water and central heating. The hot water can exceed the temperature set on the control panel, posing a burn hazard to users.",,,Repair,"About 1,100 (In addition, about 880 were sold in Canada)","The firm has received five reports of the hot water temperature fluctuating while in use. No injuries have been reported.","Contact IBC to schedule a free in-home repair by an authorized technician, who will install a mixing valve, if needed. Consumers can continue to use the recalled boilers for central heating.","Sold At","Home improvement distributors nationwide from May 2023 through June 2025 for between $4,700 and $5,100.","IBC Technologies USA Inc., of Lawnside, New Jersey",,,Canada,,
25369,,"July 03, 2025",,"Trane Recalls Gas/Electric Packaged Units Due to Risk of Gas Leak, Fire Hazard","Trane and American Standard Gas/Electric Packaged Units","This recall involves five different models of&nbsp;Gas/Electric Packaged Units sold under Trane and American Standard brand names. The model and serial number ranges can be found on the outside of the back of the unit. Trane or American Standard is printed on the front of the units.MODEL NUMBER&nbsp;SERIAL NUMBER RANGE&nbsp;4YCZ5024F1060A&nbsp;24061381FA – 24453189FA&nbsp;4YCZ5036F1070A&nbsp;24013024FA – 24482966FA&nbsp;4YCZ5036F1090A&nbsp;24061367FA – 24442702FA&nbsp;4YCZ5048E1090A&nbsp;24061326FA – 24492348FA&nbsp;4YCZ5048E1115A&nbsp;24106164FA – 24415095FA","The fuel gas valve can open unexpectedly, allowing a gas leak and posing a fire hazard.",,,Repair,"About 4,790","The firm has received one report of gas leaking from the recalled two-stage gas furnace/air conditioners. No injuries have been reported.","Consumers should immediately stop using the heating mode of the recalled units and contact their dealer who installed the unit to schedule an appointment for a free inspection and repair, by replacing the ignition board of the unit. Consumers with Trane products can locate their nearest dealer at&nbsp;www.trane.com/residential/en/dealer-locator/. Consumers with American Standard products can locate their nearest dealer at&nbsp;www.americanstandardair.com/find-your-dealer/. Consumers can also contact Trane or American Standard directly for support.&nbsp;","Sold At","HVAC distributors and dealers nationwide from January 2024 through March 2025 for between $8,250 and $12,900.",,"Trane U.S. Inc., of Davidson, North Carolina",,Mexico,,
25326,,"June 05, 2025",,"NTI Brand Boilers Recalled Due to Fire and Carbon Monoxide (CO) Poisoning Hazards and Risk of Serious Injury or Death; Made by NTI Boilers","NTI residential gas boilers","This recall involves NTI-brand TRX Series II residential wall-mounted gas boilers with model numbers TRX150, TRX199 and TRX199C. The boilers are gray in color and measure about 20 inches wide and 34 inches high. The serial number, model number and product name are located on the rating plate on the left-hand side of the boiler.&nbsp;Model Name/ NumberSerial Number(s) or RangeTRX Series II / TRX1503314306C8 (242830000177-250130000073)TRX Series II / TRX1993314307C8 (242740000006-250220000014)TRX Series II / TRX199C3314308C8 (242750000127-250410000051)","The boiler door can fail to seal properly, due to incorrect burner door studs, allowing flames and gases to escape, posing fire and carbon monoxide (CO) poisoning hazards that can result in death or serious injury.",,,Repair,"About 323 (In addition, 459 were sold in Canada)","None reported","Consumers should immediately stop using the recalled boilers and contact NTI Boilers to arrange to have a certified technician install the repair at no cost to the consumer. Consumers who must continue using the boiler while awaiting repair should have working smoke and carbon monoxide alarms in their homes.","Sold At","Independent heating and plumbing contractors and wholesale distributors nationwide from September 2024 through February 2025 for between $3,400 and $4,100.","NTI Boilers Inc., of Canada","NTI Boilers Inc., of Canada",,Canada,,
25325,,"June 05, 2025",,"HTP Brand Boilers Recalled Due to Fire and Carbon Monoxide (CO) Poisoning Hazards and Risk of Serious Injury or Death; Made by NTI Boilers","HTP residential gas boilers","This recall involves HTP-brand ELU Elite Ultra residential wall-mounted gas boilers with model numbers ELU-150WBN and ELU-199WBN. The boilers are black in color and measure about 20 inches wide and 34 inches high. The serial number, model number and product name are located on the rating plate on the left-hand side of the boiler.&nbsp;Model Name/ NumberSerial Number(s) or RangeELU Elite Ultra / ELU-150WBN3260035C8 (242770000111-242850000104)ELU Elite Ultra / ELU-199WBN3260036C8 (243240000051-250150000084)","The boiler door can fail to seal properly, due to incorrect burner door studs, allowing flames and gases to escape, posing fire and carbon monoxide (CO) poisoning hazards that can result in death or serious injury.&nbsp;",,,Repair,"About 96 (In addition, 9 were sold in Canada)","None Reported","Consumers should immediately stop using the recalled boilers and contact HTP to arrange to have a certified technician install the repair at no cost to the consumer. Consumers who must continue using the boiler while awaiting repair should have working smoke and carbon monoxide alarms in their homes.","Sold At","Independent heating and plumbing contractors and wholesale distributors nationwide from October 2024 through February 2025 for between $3,400 and $4,100.","Ariston USA LLC, of Providence, Rhode Island","NTI Boilers Inc., of Canada",,Canada,,
25320,,"June 05, 2025",,"Midea Recalls About 1.7 Million U and U+ Window Air Conditioners Due to Risk of Mold Exposure","U and U+ Window Air Conditioners","This recall involves U and U+ Window Air Conditioners made by Midea and sold in brand names including Midea, Comfort Aire, Danby, Frigidaire, Insignia, Keystone, LBG Products, Mr. Cool, Perfect Aire and Sea Breeze. The air conditioners are designed to fit in windows. They were sold in three sizes of cooling power: 8,000, 10,000 and 12,000 BTU. The air conditioners are white and measure about 22 inches wide and 14 inches high. The brand name is printed on the units. The model number can be found on a label on the front right side of the unit when facing the air conditioner. They were sold with remote controls and can be controlled by a mobile app. The following brands and model numbers are included in this recall:Midea Model NumbersFrigidaire Model NumbersMAW08AV1QWTGHWQ085WD1MAW08AV1QWT-CGHWQ105WD1MAW08U1QWTGHWQ125WD1MAW08V1QWTInsignia Model NumbersMAW08V1QWT-SNS-AC8WU3MAW08V1QWT-TNS-AC8WU3-CMAW08W1QWTKeystone Model NumbersMAW10U1QWTKSTAW08UAMAW10V1QWTKSTAW10UAMAW10W1QWTKSTAW12UAMAW12AV1QWTLBG Products Model NumberMAW12AV1QWT-CQB-8K COMAW12U1QWTMr. Cool Model NumbersMAW12V1QWTMWUC08T115MAW12V1QWT-MMWUC10T115MAW12V1QWT-SMWUC12T115MAW12W1QWTPerfect Aire Model NumbersComfort Aire Model Numbers1PACU10000RXTS-101A1PACU12000RXTS-121A1PACU8000RXTS-81ASea Breeze Model NumbersDanby Model NumbersMWAUQB-12CRFN8-BCN10DAC080B6IWDB-6WAU310YREXDAC080B7IWDB-6WAU312YREXDAC100B6IWDB-6WAU38YREX","Pooled water in the air conditioners can fail to drain quickly enough, which can lead to mold growth. Mold exposure poses risks of respiratory issues or other infections to some consumers.",,,"Refund, Repair","About 1.7 million (In addition, about 45,900 were sold in Canada)","The firm is aware of at least 152 reports of mold in the air conditioners, including 17 reports of consumers experiencing symptoms such as respiratory infections, allergic reactions, coughing, sneezing and/or sore throats from mold exposure.","Consumers with the recalled air conditioners should immediately contact Midea for a free repair or a full or prorated refund, which will be based on the purchase date or date of manufacture.Consumers who want a refund will be requested to send the unit back to Midea using a free shipping label or submit a photograph showing that they cut the unplugged power cord of the unit to receive a refund.Consumers who want a repair should contact Midea to arrange for a technician to install a new drain plug or send consumers a repair kit that includes a new drain plug and bubble level, depending on the model. Consumers who continue using the air conditioners while awaiting a repair should visit&nbsp;www.MideaUrecall.expertinquiry.com for instructions on how to inspect their unit prior to continuing use.","Sold At","Costco, Menards, Home Depot, Best Buy and other stores nationwide and online at Midea.com, Amazon.com, Costco.com, Menards.com, HomeDepot.com, Lowes.com, Walmart.com, BJs.com, BestBuy.com and other websites from March 2020 through May 2025 for between $280 and $500.","Midea America Corp., of Parsippany, New Jersey","GD Midea Air-Conditioning Equipment Co. Ltd., of China",,"China and Thailand",,
25313,,"June 05, 2025",,"Rinnai America Recalls Boilers Due to Carbon Monoxide (CO) Poisoning Hazard","Rinnai i-Series Plus gas boilers","This recall involves Rinnai-brand i-Series Plus residential wall-mounted gas boilers with model numbers IP175S, IP199S, IP175199C and IP199199C. The top white label on the side of the boiler states MADE IN JAPAN and has the model numbers followed by a reference code in parenthesis, TYPE OF GAS NATURAL GAS and SERIAL NO. followed by letters and numbers. The boilers are rectangular and metal and have the name Rinnai printed in black near the top and a temperature display/keypad near the bottom of the front of the boiler.","The boiler door can fail to seal properly due to incorrect screws, allowing carbon monoxide (CO) gases to escape, posing a carbon monoxide poisoning hazard.&nbsp;",,,Repair,"About 2,030 (In addition, 249 were sold in Canada)","None reported","Consumers should immediately stop using the recalled boilers and contact Rinnai to arrange to have a certified technician install the repair at no cost to the consumer. Consumers who must continue using the boiler while awaiting repair should have working carbon monoxide alarms on each level of their homes and outside sleeping areas.","Sold At","Independent heating and plumbing contractors and wholesale distributors nationwide, and online at Amazon.com, Homedepot.com and Lowes.com from September 2024 through February 2025 for between $3,900 and $5,000.","Rinnai America Corporation, of Peachtree City, Georgia",,,Japan,,
25255,,"May 08, 2025",,"Delta Gas Ball Valves Recalled Due to Fire and Burn Hazards; Manufactured by Masco Canada","Delta Gas Ball Valves","This recall involves all models of&nbsp;Delta-branded Gas Ball Valves.&nbsp;These are chrome manually operated gas valves sold by Masco Canada Limited and Delta Faucet Company for use in school, research and hospital laboratories. The valves are used to control the flow of gas, acting as an on/off valve for gas delivery. All of the models will have the word “Delta” on at least one side of the chrome-colored sides of the body and the word “GAS” written in white on the blue-colored top. The recalled models are also identifiable by the “1/2 PSI MAX” and “GAS/GAZ” stamped on the bottom.","Small amounts of gas can leak from the valve when it is in the open position, posing fire and burn hazards.",,,Refund,"About 3,700 (In addition, about 18,500 were sold in Canada).","None reported","Consumers should immediately stop using the recalled Delta-branded Gas Ball Valves and contact Masco Canada to confirm that their product is part of the recall and receive instructions on how to get a refund.&nbsp;Masco Canada will also reimburse the cost of labor to remove the units and dispose of them. Masco is contacting all known purchasers directly.","Sold At","Exclusively at plumbing supply distributors nationwide from January 2006 through January 2025 for between $30 and $160.","Delta Faucet Company, of Indianapolis, Indiana","Masco Canada Limited, of Canada",,Canada,,
