"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26347,,"March 26, 2026",,"Petzl America Recalls Nomic and Ergonomic Ice Climbing Axes Due to Fall Hazard; Risk of Serious Injury or Death","Nomic and Ergonomic Ice Climbing Axes","This recall involves the Petzl Nomic ice climbing axes (model U021AA00, serial numbers 17L 0000000 000 to 20F 9999999 999) and Ergonomic ice climbing axes (model U022AA00, serial numbers 18F 0000000 000 to 21L 9999999 999). The axes are made from an aluminum shaft, steel pick and reinforced plastic grip. Nomic axes are black and Ergonomic axes are orange.&nbsp;The serial number for both models is printed on a label on the upper portion of the shaft.","The ice axe shaft can break at the handle during use, posing a fall hazard, which can result in serious injury or death.",,,Repair,"About 4,200 (In addition, about 1,160 were sold in Canada)","The firm has received 26 reports of the ice axe shafts breaking at the handle. No injuries have been reported.","Consumers should immediately stop using the recalled ice axes and contact Petzl America for a free repair kit. Consumers should register at https://www.petzl.com/US/en/Sport/Contact?request=product-recall to request a pre-paid shipping label to return the shaft. Petzl America will send a repair kit with a new shaft, hardware for the grip rest and assembly instructions.&nbsp;","Sold At","REI, Moosejaw Mountaineering and other specialty stores nationwide and online at petzl.com, REI.com and Backcountry.com from December 2017 through March 2022 for between $380 and $440.","Petzl America, Inc., of Salt Lake City, Utah",,,France,,
26334,,"March 19, 2026",,"Amazon Recalls Amazon Basics Camping Folding Pocket Knives Due to Laceration Hazard","Amazon Basics Camping Folding Pocket Knives","This recall involves the Amazon Basics Camping Folding Pocket Knife with a 3.5” blade. It is made from black high carbon stainless steel and has a pocket clip. The model number is B0DM5BJK3H. Manufacturing lot codes (MLC) C25021766FJO, C25090466FJO or C25090566FJO are printed on the side of the white packaging box.","The folding mechanism on the blade can fail to remain properly secured in the closed position, posing a laceration hazard.",,,Refund,"About 2,840","Amazon received one report of the blade not remaining properly secured in the closed position. No injuries have been reported.","Consumers should immediately stop using the recalled knife and register for the recall at https://amazonfoldingkniferecall.expertinquiry.com/. Consumers will be provided with a prepaid return kit and instructions to safely return the recalled knife to Amazon. Upon receipt, consumers will be issued a full refund to the original payment method or in the form of an Amazon gift card.&nbsp;&nbsp;","Sold Online At","Amazon.com from August 2025 through February 2026 for about $30.&nbsp;","Amazon.com Services LLC, of Seattle, Washington",,,China,,
26120,,"November 26, 2025",,"Ozark Trail Tabletop 1-Burner Butane Camping Stoves Recalled Due to Serious Burn and Fire Hazards; Imported and Sold by Walmart; Manufactured by China Window Industry Co.","Ozark Trail Tabletop 1-Burner Butane Camping Stoves","This recall involves Ozark Trail Tabletop 1-Burner Butane Camping Stoves with model number BG2247A1. The model number is printed on a gray label on the inside of the fuel compartment. The camping stoves are dark green with an orange “Ozark Trail” logo printed on the front.","The stoves can explode or catch fire, posing a burn and fire hazard to consumers.",,,Refund,"About 201,000","China Window Industry Co., Ltd has received 26 reports of the camping stoves exploding or catching fire, including 16 reports of injuries such as second-degree burns.","Consumers should immediately stop using the recalled stoves and return the product to any Walmart retail store for a full refund.","Sold At","Walmart stores nationwide and online at Walmart.com from March 2023 through October 2025 for between $8 and $45.","Walmart Inc., of Bentonville, Arkansas","China Window Industry Co., Ltd, of Taipei, Taiwan",,China,,
25444,,"August 28, 2025",,"C.A.M.P. Recalls Nimbus Lock Carabiners Due to Risk of Serious Injury or Death from Fall","Nimbus Lock Carabiners","This recall involves Nimbus Lock Carabiners sold in Gun Metal/Green, Gun Metal/Fuchsia and Gun Metal/Blue. The affected carabiners were sold individually or as part of the Nimbus Lock 3 Pack, the Locker Draw KS, the Energy CR3 Pack and the Energy Nova Pack. Only the carabiners are included in this recall. The affected carabiners have the following batch numbers 10 23, 12 23, 02 24, 09 24, 10 24, 12 24, 01 25, 02 25 and 06 25. The batch number is found on the side of the bottom of the carabiner.&nbsp;","The carabiner’s automatic closing mechanism can break and prevent the gate from closing, posing a risk of serious injury or death due to falling.",,,Repair,"About 12,600 (In addition, about 2,100 were sold in Canada)","The firm has received 21 reports of the closing mechanism breaking. No injuries have been reported.","Consumers should immediately stop using the recalled Nimbus Lock Carabiners and contact C.A.M.P. Consumers will be asked to fill out the recall form at&nbsp;www.camp-usa.com/nimbus-lock-safety-recall-registration-form, print a prepaid return shipping label and return the recalled product. C.A.M.P will inspect returned units and ship them back to consumers, if they pass inspection. Any units that do not pass inspection will be replaced free of charge.&nbsp;","Sold At","REI, Portland Mountain Shop, How Not 2 and other stores nationwide and online at Camp-usa.com, Backcountry.com, Amazon.com, REI.com, Mountainshop.net, Hownot2.com and other websites from January 2024 through July 2025 for between $16 and $86.&nbsp;","C.A.M.P. USA Inc., of Golden, Colorado",,,China,,
25414,,"July 31, 2025",,"Leatherman Recalls Charge Plus Multi-Tools Due to Laceration Hazard","Leatherman Charge Plus and Charge Plus TTi Multi-Tools","This recall involves Leatherman Charge Plus and Charge Plus TTi multi-tools. The Charge Plus multi-tools come in black and stainless-steel colors and with a black MOLLE or black nylon sheath. The Charge Plus TTi multi-tools were sold in a stainless-steel color with a black nylon sheath. The name “Leatherman” is etched on the product.","The tip of the knife blade doesn’t fully fold into the handle, posing a laceration hazard.",,,Repair,"About 17,000","None reported","Consumers should immediately stop using the recalled Charge Plus multi-tools and go to&nbsp;www.leatherman.com/pages/charge-recall to determine if their multi-tool falls within the scope of this recall. Consumers will not be asked for proof of purchase and will receive a pre-paid shipping label to return the recalled Leatherman Charge Plus and Charge Plus TTi multi-tools to the firm to be repaired free of charge.&nbsp;","Sold At","REI, hardware, cutlery and other stores nationwide and online at Leatherman.com, Amazon.com and REI.com from July 2024 through March 2025 for between $150 and $200.&nbsp;",,"Leatherman Tool Group Inc., of Portland, Oregon",,"United States",,
25335,,"June 12, 2025",,"Mammut Sports Group Recalls Skywalker Pro Via Ferrata Sets Due to Risk of Serious Injury or Death from Fall Hazard","Skywalker Pro Via Ferrata Sets, Skywalker Pro Turn Via Ferrata Sets and Skywalker Pro Via Ferrata Packages","This recall involves Skywalker Pro Via Ferrata Sets used to assist during mountain and rock climbing. The product has a blue cord with an orange and gray colored carabiner. Only model numbers 2040-02840, 2040-02850 and 2040-02870 are included in this recall. The model numbers can be found on a tag inside the pouch.","The carabiner can be opened without engaging the safety latch, posing a risk of serious injury or death due to fall hazard.",,,Refund,"About 580 (In addition, about 42 were sold in Canada)","None reported","Consumers should immediately stop using the Via Ferrata Sets and contact Mammut Sports Group for a full refund. Mammut Sports Group will provide return labels for consumers to return their recalled products to receive their refund. Consumers should email&nbsp;warranty.usa@mammut.com to request the prepaid return labels.","Sold At","Jackson Hole Mountain Resort, Jackson Hole, Wyoming, Campsaver, Millville, Utah and other outdoor and recreation stores nationwide from February 2023 through March 2025 for between $150 and $280.","Mammut Sports Group Inc., of Williston, Vermont ",,,Switzerland,,
25253,,"May 08, 2025",,"Igloo Expands Recall of 90 Qt. Rolling Coolers Due to Fingertip Amputation and Crushing Hazards; Total Recalled Now Nearly 1.2 Million","Igloo 90 Qt. Flip & Tow Rolling Coolers","This recall expansion involves an additional 130,000 Igloo 90 Qt. Flip &amp; Tow Rolling Coolers manufactured prior to January 2024. The date of manufacture is imprinted on the bottom of the cooler in a circular pattern with an arrow pointing to the month of manufacture and the last two digits of the year of manufacture inside the circle.&nbsp;The recalled coolers have a tow handle, and “IGLOO” is printed on the side of the coolers. The coolers were sold in multiple body and lid color combinations. The following cooler models with tow handles are included in the recall expansion. The model number is located on labels affixed to the bottom of the cooler.Additional Recalled Coolers Model/SKU #Description&nbsp;Date Codes&nbsp;34692LATITUDE 90 QT ROLLER07/2020-09/202134785LATITUDE 90 QT ROLLER10/2021-12/202234790MAXCOLD LATITUDE 90 QT ROLLER10/2021-02/2023","The tow handle can pinch consumers’ fingertips against the cooler, posing fingertip amputation and crushing hazards.",,,Replace,"About 130,000 additional coolers (In addition, about 20,000 in Canada and 5,900 in Mexico) (More than one million Igloo coolers were previously recalled in February 2025)","Since the recall was announced in February 2025, Igloo has received 78 reports of fingertip injuries, including 26 resulting in fingertip amputations, bone fractures or lacerations.","Consumers should immediately stop using the recalled coolers and contact Igloo for a free replacement handle.","Sold At","Costco, Target, Academy, Dick’s, and other stores nationwide and online at Amazon.com, Igloocoolers.com, and other websites from January 2019 through January 2025 for between $80 and $140.",,"Igloo Products Corp., of Katy, Texas",,"United States",,
25181,,"March 13, 2025",,"Black Diamond Equipment Recalls BD Vision Climbing Harnesses Due to Fall Hazard; Risk of Serious Injury and Death","BD Vision Climbing Harness","This recall involves all BD Vision Harnesses. This lightweight harness is designed for technical alpine and ice climbs. All sizes are included in this recall. The harness has fixed leg loops and was sold in black and white colors. “Black Diamond” is printed on one of the leg loops. “Vision” is printed on the other leg loop.","The recalled BD Vision harnesses can degrade over time and fail to support the climber, posing a fall hazard resulting in serious injury or death.",,,Refund,"About 1,580 (In addition, about 130 were sold in Canada)","Black Diamond has received one report involving the harness waist belt failing. No injuries have been reported.","Consumers should immediately stop using the recalled BD Vision harnesses and contact Black Diamond for a full refund (in the form of a credit card reimbursement) or a one-time-use $200 credit, which can be used at a Black Diamond store or on the Black Diamond website. Contact Black Diamond for a pre-paid shipping label to return the recalled harness. Black Diamond is contacting all known purchasers.","Sold At","Liberty Mountain, Recreational Equipment Inc. (REI) and other specialty outdoor stores nationwide, and online at www.blackdiamondequipment.com, www.backcountry.com and www.evo.com from January 2018 through February 2025 for about $175.","Black Diamond Equipment Ltd., of Salt Lake City, Utah",,,Philippines,,
25165,,"February 27, 2025",,"Head Rush Technologies Recalls TRUBLUE iQ and TRUBLUE iQ+ Auto Belays Due to Fall Hazard","TRUBLUE iQ and TRUBLUE iQ+ Auto Belays","This recall involves TRUBLUE iQ Auto Belay Devices, which enable climbers to safely descend while climbing.&nbsp;The TRUBLUE iQ is gray with blue handles and a gray sash on the front cover. The TRUBLUE iQ+ has an added catch-and-hold brake on the front. The LT versions of the iQ and iQ+ have blue tags above the blue webbing hand grip; the XL versions have a purple tag. The recalled auto belay devices have a serial number within the following serial number ranges printed on the device’s handle, as well on the bottom of the device:ProductsModelsSerial Number RangeTRUBLUE iQ LTTBiQ LT (12.5m)iQ0041591 through iQ0044486TRUBLUE iQ+LTTBiQ+ LT (12.5m)iQP000401 through iQP000422TRUBLUE iQ XLTBiQ XL (20m)iQXL01283 through iQXL03425TRUBLUE iQ+XLTBiQ+ XL (20m)iQXLP0104 through iQXLP0215","The recalled auto belay device can fail to retract, posing a fall hazard and risk of serious injury or death.",,,Repair,"About 410","The firm has received 109 reports of incidents of slow retraction, including one injury involving the auto belay not retracting, resulting in a fractured leg.","Consumers should immediately stop using recalled auto belay devices and contact Head Rush Technologies for a free onsite inspection and repair.","Sold Online At","www.headrushtech.com from May 2023 through December 2024 for between $2,800 to $4,600.",,"Head Rush Technologies, of Louisville, Colorado",,"United States",,
25164,,"February 27, 2025",,"ARVA Recalls NEO BT PRO Avalanche Transceivers Due to Risk of Loss of Emergency Transmission; Risk of Serious Injury or Death","ARVA Neo BT Pro Avalanche Transceivers","This recall involves ARVA Neo BT Pro Avalanche Transceivers. The transceivers are black plastic with an LCD screen below a red mark button. NEO BT PRO is written on the left side of the device. The affected beacons have serial numbers NBP00052-1027 to NBP00287-1127 and NB00300-1127 to NB11675-0329. The serial number is located&nbsp;inside the battery compartment on the underside of the battery compartment lid.","A fuse within the avalanche transceiver can be defective and cause power to drain from the battery, posing a risk of loss of emergency communication which could result in serious injury or death.",,,Repair,"About 1,067","None reported","Consumers should immediately stop using the recalled device and contact NIC IMPEX ARVA CORP. for a free inspection and repair. The firm will give consumers a shipping label to return the recalled transceiver.","Sold At","Winter outdoor sporting goods and ski and snowboard stores nationwide and online at arva-equipment.com, backcountry.com and Evo.com from September 2022 through January 2025 for about $430.","Nic Impex ARVA Corp., of Orem, Utah",,,France,,
