"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26203,,"January 22, 2026",,"Johnson Health Tech Expands Recall to Include Matrix Retail and Vision Treadmills Due to Fire Hazard","Matrix Retail T30, TF30, T50, TF50, and T75 treadmills, Vision T9800, TF20, T40, and T80 treadmills","This recall involves Matrix Retail models T30, TF30, T50, TF50, and T75 treadmills, and Vision models T9800, TF20, T40, and T80 treadmills with certain serial numbers. The treadmills have a running platform that measures 60 inches long by 20 inches wide, a 33-inch-wide console, and were sold with a straight power cord with no power cord bracket. “Matrix” or “Vision” is printed on the treadmill and treadmill belt. The model number and frame serial number are located on the lower front crossbar near the power switch. The serial number includes the letters TM, a three-digit model number, and the manufacture date in YY/MM format followed by a five-digit serial. The recalled treadmills were manufactured from June 2007 through January 2024 and do not come with a power cord bracket.&nbsp;&nbsp;This recall is an expansion of the prior recall of Matrix T1 and T3 Series Commercial Treadmills, which were also recalled because the power cord can become loose from the treadmill’s power socket. The remedy in the prior recall of commercial treadmills is a power cord bracket that requires tools for installation. For this recall expansion, the remedy for consumers is a power cord with an automatic locking-style plug that does not require any tools for installation.&nbsp;&nbsp;Model Name/ NumberRecalled Serial Number(s) or RangeMatrix RetailT30 (TM729)TM7291709CA00001 - TM7292104C00380TF30 (TM693, TM693B)TM6931606CA00001 - TM6931705CA00178TM693B1707CA00001 - TM693B2201C00601T50 (TM695, TM767)TM6951607CA00001 - TM6952009C00840TM7672009C00001 - TM76722011C00051TF50 (TM694, TM694B, TM768)TM6941607CA00001 - TM69482009C00514TM694B1605C00008 - TM694B2009K03263TM7682009C00001 - TM7682104C00580T75 (TM703, TM703B, TM703C, TM703E)&nbsp;TM7031607CA00001 - TM70381903C00088TM70382311C00229TM703B1609CA00015 - TM703B1908C00050TM703B2309C00164, TM703B2311C00282TM703C1810C00001 - TM703C2212C00127TM703C2305C00049, TM703C2308C00409TM703E2304C00002 - TM703E2401C00087VisionT9800 (TM87)TM87D070600070, TM87D080600128, TM87D0940059, TM87D120100125, and TM87D1206000127TF20 (TM432, TM432C)TM4321108BD00255 - TM4321610CA00033TM432C1210CA00002 - TM432C1606CA00200T40 (TM433, TM433C)TM4331201BD00466 - TM4331510BD00004TM433C1408CJ00001 - TM433C1602CA00631T80 (TM445)TM4451210BC00001 - TM4451505BC00150TM4451212BD00002 - TM4451406BD00125","The power cord can become loose from the treadmill’s power socket, posing a fire hazard.",,,Repair,"About 47,000","The firm has received 27 reports of overheating at the power cord-socket connection. No injuries have been reported.","Consumers should inspect their treadmills to confirm whether they have a power cord bracket installed on the unit. &nbsp;If there is no power cord bracket, consumers should ensure that the power cord is completely inserted into the treadmill’s power socket before each use, until the treadmill is repaired. Consumers should contact Johnson Health Tech North America to receive a free replacement power cord with an automatic locking-style plug by mail for self-installation. To facilitate consumer participation in this recall, the installation of the replacement power cord does not require any tools.","Sold At","JFW, G&amp;G Fitness, Precision Fitness, Fitness Expo, Fitcorp USA, Better Body Fitness of Montana Inc, BGI Fitness, Treadmill Outlet, Colorado Home Fitness and other retailers, and online at matrixhomefitness.com, visionfitness.com and various other online retailers from April 2012 through May 2025 for between $2,100 and $8,100.","Johnson Health Tech Trading, Inc., of Cottage Grove, Wisconsin",,,China,,
26150,,"December 18, 2025",,"Amp Fit Recalls AMP Smart Fitness Machines Due to Laceration and Serious Injury Hazard","AMP MP2 Smart Fitness Machine","This recall involves the MP2 model of the AMP Smart Fitness Machine, a wall-mounted strength-training device. It provides full-body, resistance-based workouts utilizing an adjustable arm and integrates with Amp Fit digital app platform for personalized fitness training.&nbsp;","The arm on the MP2 model of the fitness machine does not lock properly, which can allow the arm to swing unexpectedly, posing a risk of laceration or serious injury.",,,Repair,"About 1,900","The firm has received 10 reports of the arm on the fitness machine not locking properly, resulting in lacerations to the head and bruising to the shoulder and other body.","Consumers should immediately stop using the recalled fitness machine and contact Amp Fit to schedule a free inspection and repair that will be conducted at the consumers’ residence by an authorized technician. The repair involves the replacement of a part within the shoulder cap of the locking mechanism that helps to ensure the locking mechanism is fully engaged.&nbsp;","Sold Online At","Ampfit.com from January 2025 through August 2025 for about $1,800.","Amp Fit, Inc., of Middletown, Delaware",,,China,,
26025,,"October 16, 2025",,"iFIT Recalls NordicTrack Rowing Machines Due to Fire Hazard","NordicTrack Model NTRW19147 Rowing Machine","This recall involves iFIT NordicTrack Rowing Machines with model numbers NTRW19147.0, NTRW19147.1, NTRW19147.2 or NTRW19147.3. The model number is printed on a decal attached to the rower base. The recalled rowing machines are black, gray and white and have “NordicTrack” printed in black letters on the front legs of the machine. The back legs of the machine have “RW900” printed in white letters.","The screen console can overheat and ignite, posing a fire hazard.",,,Repair,"About 44,800 (In addition, about 700 were sold in Canada)","There have been eight reported incidents including two reports of fire, six reports of smoking or melting, and at least $6,000 in property damage. No injuries have been reported ","Consumers should immediately stop using and unplug the recalled rowing machines. Consumers should contact iFIT to arrange for a free home repair by an authorized technician in the form of a replacement screen console.","Sold At","In-store and online at Best Buy, Dick’s Sporting Goods, Nebraska Furniture and ABT stores nationwide and online at nordictrack.com and Amazon.com from November 2018 through April 2022 for about $1,700.","iFIT Inc., of Logan, Utah",,,China,,
25311,,"June 05, 2025",,"Johnson Health Tech Trading Recalls BowFlex Adjustable Dumbbells Due to Impact Hazard, Including 3.7 Million Sold by Nautilus Inc.","BowFlex 552, 52.5 LB Adjustable Dumbbells and BowFlex 1090, 90 LB Adjustable Dumbbells","This recall involves the BowFlex branded Model 552, 52.5 LB Adjustable Dumbbells and Model 1090, 90 LB Adjustable Dumbbells. The dumbbells were sold in pairs and single units in the color black and include handles, weight plates and a molded plastic tray. The model 552 dumbbells adjust from 5 to 52.5 pounds and the model 1090 adjusts from 10 to 90 pounds using manual adjustment knobs while the weights are nested in the base. The model and serial number are printed on a sticker located on the bottom of the molded plastic tray. The following model and serial number ranges are included in this recall.Model NumberSerial Number RangeBowFlex 552 Adjustable Dumbbells00182M243902233 – 00182M24390259200182MAG220200463C – 00182MAG221204535C00182SFE213414844C – 00182SFE234002231C100182M242800001 – 100182M250201440100182MAG20431227C – 100182MAG233500372100182P244100067 – 100182P244602976100182SFE213709609 – 100182SFE235206276100748M243200001 – 100748M244300252100748MAG222400734 – 100748MAG23500660100748P242900001 – 100748P245205632100748SFE220908785 – 100748SFE233513811X00748MAG233003670 – X00748MAG233003672X00748SFE233202493 – X00748SFE233203161Z00748MAG233003670BowFlex 1090 Adjustable Dumbbells4551MAG21452813 – 4551MAG233503814551SFE23320001 – 4551SFE23501949BowFlex Inc. filed for bankruptcy protection in March 2024. Johnson Health Tech Trading has agreed to provide a remedy for the 552 and 1090 adjustable dumbbells sold by BowFlex Inc., (formerly Nautilus Inc.), prior to May 2024 as a part of this recall.","The weight plates can dislodge from the handle during use, posing an impact hazard.",,,"Refund, Replace","About 3,844,200","Johnson Health Tech Trading has received 12 reports of the plates dislodging during use with no injuries for units it sold. Nautilus received 337 reports of the plates dislodging during use for units it sold, including 111 resulting in injuries such as concussions, abrasions, broken toes or contusions.","Consumers should immediately stop using the recalled Bowflex adjustable dumbbells and contact Johnson Health Tech Trading for a refund of the purchase price in the form of a voucher, or a replacement for units sold by Johnson Health Tech Trading. For units sold by BowFlex Inc. (formerly Nautilus Inc.), consumers can request a refund in the form of a prorated voucher and a one-year JRNY digital fitness membership. Consumers will be sent a pre-paid shipping label to return the handle and base for each returned dumbbell. Johnson Health Tech Trading is contacting all known purchasers directly.","Sold At","Johnson Fitness &amp; Wellness, DICK’S Sporting Goods and Best Buy stores nationwide and online at www.Bowflex.com and www.Amazon.com as early as 2004 through April 2024 by BowFlex Inc., (formerly Nautilus Inc.), and from May 2024 through May 2025 by Johnson Health Tech Trading Inc. for between $200 and $800.","BowFlex Inc., (formerly Nautilus Inc.), of Vancouver, Washington, and Johnson Health Tech Trading Inc., of Cottage Grove, Wisconsin ",,,China,,
25184,,"March 20, 2025",,"Tzumi Electronics Recalls FitRx SmartBell XL Quick-Select Adjustable Dumbbells Due to Impact Injury Hazard; Sold Exclusively at Walmart.com","FitRx SmartBell XL Quick-Select 10-90 lbs. Adjustable Dumbbells","This recall involves FitRx SmartBell XL Quick-Select Adjustable Dumbbells (10-90 lbs.), Model 9034, with serial number KK23289034. The dumbbells were sold in black with red accents and include handles, weight plates and a molded plastic storage tray. The dumbbells adjust from 10 to 90 pounds, in five-pound increments, by turning the handle to the desired weight, while the dumbbell is nested in the storage tray. The model number and serial number are located on the side of the unit’s storage tray. “FitRx” is printed on the storage tray and on the dumbbell handles.","Weight plates can dislodge from the dumbbell handle during use, posing an impact hazard to consumers.",,,Repair,"About 12,400","There have been more than 60 reports of weight plates dislodging during use, which have been linked to at least seven injuries, including bruises, contusions and abrasions.","Consumers should immediately stop using the recalled adjustable dumbbells and contact Tzumi Electronics for a free repair consisting of a new dumbbell handle and storage tray.","Sold At","Exclusively online at www.walmart.com from September 2023 through June 2024 for between $150 and $200.","Tzumi Electronics Inc., of New York",,,China,,
25109,,"January 30, 2025",,"Johnson Health Tech North America Recalls Matrix-Brand Training Cycles Due to Fall Hazard","Matrix-brand Training Cycles","This recall involves certain Matrix-brand Training Cycles models CXP-03, CXC-02, CXM-03, CXV and CXM-02. The recalled products have adjustable saddles and handlebars with an aluminum rear flywheel and a magnetic resistance system. They have matte black steel frames, forged steel cranks, dual-sided SPD pedals, four leveling feet and two transport wheels. “Matrix” is printed on the side. The model and serial numbers are located on a label on the lower rear area of the cycle frame. Recalled cycles have a serial number that contains a serial prefix of FC32, ZFC32B, FC33, FC36, FC29D or FC27.&nbsp;Model (Serial Prefix)Example Serial NumbersCXC-02 (FC32)FC32210900001CXC-02 (ZFC32)ZFC32B240600001CXM-02 (FC33)FC33210800001CXM-03 (FC36)FC36240300001CXP-03 (FC29)FC29D240600001CXV (FC27)FC27210700001","The training cycles’ adjustable seat can unexpectedly lower while in use, posing a fall hazard to the rider.",,,Repair,"About 12,885 (In addition, about 140 were sold in Canada) ","The firm has received 63 reports of seats unexpectedly lowering, including two reports that users fell off the cycle when the seat lowered. No injuries have been reported.","Consumers should immediately stop using the recalled cycles and contact Johnson Health Tech North America Inc. to schedule a service technician to install a free repair kit.","Sold At","Sold primarily to commercial fitness facilities, both by JHTNA directly and through third-party distributors, from January 2021 through October 2024 for between $2,530 and $7,305.","Johnson Health Tech North America Inc. (“JHTNA”), of Cottage Grove, Wisconsin",,,Taiwan,,
25078,,"December 26, 2024",,"Precor Recalls Resolute™ Cable Multi-Station Exercise Equipment Due to Impact Injury Hazard","Precor Resolute Cable Multi-Station Exercise Equipment","This recall involves Precor-branded Resolute Cable Multi-Station exercise equipment, Model No. RMS905, sold to gyms. The exercise equipment includes an adjustable pulley carriage that allows users to perform cable resistance exercises from different heights along a vertical rail. The brand name Precor is located above the vertical rail and “Model No. RMS905” is printed on a label on the underside of the pulley assembly’s top frame, between the vertical rail and the weight stack.&nbsp;The exercise equipment measures 68 inches x 58 inches x 94 inches, has either a silver, black or white frame, and multiple upholstery options.","The pop-pin can fail to fully engage in the exercise equipment’s vertical rail and cause the pulley carriage to drop unexpectedly during use, posing an impact injury hazard to users.",,,Repair,About 834,"Precor has received nine reports of the pulley dropping during use, including two minor head injuries.","Consumers should immediately stop using the recalled exercise equipment. Precor is directly contacting all known gyms with the recalled exercise equipment to coordinate a free on-site repair by a qualified service technician, including installation of a redesigned pop-pin and a missing warning label.","Sold At","The product was sold to fitness facilities nationwide from July 2023 through October 2024 for between $3,020 to $3,340 for the exercise station.","Precor Incorporated, of Woodinville, Washington",,,China,,
24310,,"July 25, 2024",,"iFIT Recalls ProForm 50 LB Adjustable Dumbbells Due to Impact Injury Hazard","ProForm Rapid Strike 50 LB Adjustable Dumbbell Sets","This recall involves the ProForm Rapid Strike 50 LB Adjustable Dumbbell Set, model PAMSDB20. The dumbbells were sold in black and include handles, weight plates and a molded plastic tray. The dumbbells adjust from 5 to 50 pounds in 5-pound increments using a manual selection pin, while the weights are nested in the base. The model number is printed on a sticker under the lip at the base of the molded tray.","The weight plates can dislodge from the handle during use, posing an impact injury hazard.",,,Repair,"About 54,400 (In addition, about 650 sold in Canada)","The firm has received eight reports of weight plates dislodging during use with three resulting in injuries, including contusions and abrasions.","Consumers should immediately stop using the recalled ProForm Rapid Strike 50 LB Adjustable Dumbbell Sets, and contact iFIT to receive a free repair in the form of a replacement for the molded tray. iFIT is contacting all known purchasers directly.","Sold At","ProForm.com, Amazon.com, DicksSportingGoods.com, Lowes.com and Walmart.com from February 2021 through May 2024 for about $350.","iFIT Inc., f/k/a Icon Health & Fitness, of Logan, Utah",,,Taiwan,,
24743,,"April 11, 2024",,"Johnson Health Tech North America Expands Recall of Matrix T1 and T3 Commercial Treadmills Due to Fire Hazard (Recall Alert)","Matrix T1 and T3 Series Commercial Treadmills","This recall involves the Matrix Fitness T1xe, T3x, T3xm and T3xh-02&nbsp;treadmills. The treadmill has a running platform that measures 60 inches long by 20 inches wide, a 33-inch-wide console, and a straight power cord with no power cord bracket. Matrix is printed on the treadmill console masts. The model name and the serial number are located on the connecting bar at the bottom of the machine near the power socket. The serial number is composed of the letters TM, a three-digit model number, the manufacture date in YY/MM format followed by a five-digit serial. The recalled treadmills were manufactured from March 2018 through January 2024.&nbsp;MODEL NAMEMODEL NUMBERSERIAL NUMBER (BOLDED YY/MM)T1xeTM522TM5221803xxxxx &nbsp;T3xTM523TM5231906xxxxxT3xmTM725TM7251902xxxxxT3xh-02TM722TM7221803xxxxx","The power cord can become loose from the treadmill’s power socket, posing a fire hazard.",,,Repair,"About 10,250 (About 19,900 were previously recalled in January 2022)","Matrix Fitness has received one report of a fire in a fitness facility since the last recall, in addition to the 58 reported in the January 2022 recall, of the treadmill’s power cord and socket sparking, smoking, and/or melting, including seven reports of fire; two resulting in property damage. No injuries have been reported.","Exercise facilities should inspect their treadmills to confirm whether they have a power cord bracket installed on the unit. If the bracket is not already installed, facilities should ensure that the power cord is completely inserted into the power socket on the treadmills prior to each use, until repaired. Contact Johnson Health Tech North America to schedule a free installation of a power cord bracket or to order a power cord bracket for self-installation. Johnson Health Tech North America is contacting all known purchasers directly.","Sold At","Johnson Health Tech North America and Johnson Fitness &amp; Wellness stores nationwide from March 2018 through January 2024 for between $3,400 and $10,800.","Johnson Health Tech North America Inc., of Cottage Grove, Wis.",,,"China and Taiwan",,
24102,,"February 01, 2024",,"iFIT Recalls NordicTrack 50 LB iSelect Voice-Controlled Adjustable Dumbbells Due to Impact Hazard","NordicTrack 50 LB iSelect Voice-Controlled Adjustable Dumbbells","This recall involves the iFIT NordicTrack 50 LB iSelect Voice-Controlled Adjustable Dumbbells, model NTSAW23020.0. The dumbbells were sold in black and include handles, weight plates, a tablet holder and a base. The dumbbells adjust from 5 to 50 pounds in 5-pound increments using an electronic motorized weight selector that responds to voice prompts or manual adjustment of a rotating knob located on the base. The dumbbells also include an integrated Bluetooth feature that communicates with the iFIT app to guide workouts and track data.","The weight plates can dislodge from the handle during use, posing an impact hazard.",,,Refund,"About 15,400 (In addition, about 650 sold in Canada)","There were 40 reports of weight plates dislodging during use with eight resulting in injuries such as contusions and abrasions.","Consumers should immediately stop using the recalled NordicTrack 50 LB iSelect Voice-Controlled Adjustable Dumbbells and contact iFIT to receive a full refund. iFIT is contacting all known purchasers directly.","Sold Online At","NordicTrack.com, Amazon.com and DicksSportingGoods.com from January 2022 through November 2023 for between $500 and $600.","iFIT Inc., f/k/a Icon Health & Fitness, of Logan, Utah",,,Taiwan,,
