"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-290,,"February 26, 2026",,"Bicystar High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violates Mandatory Standard for High Chairs","High Chairs","This recall involves children’s high chairs. The gray high chairs have a metal frame, metal legs, a tray and a cushioned seat cover. “BICYSTAR” is printed on the front of the tray and “Model No.: TB-HC6900” on a label stitched to the back of the high chair’s seat cover.","The high chairs violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… chairs because they were sold without the required attached crotch restraint, posing a deadly fall hazard for children. In addition, a child’s head can become trapped between the seat and the side of the high chair, posing a deadly entrapment hazard.",,,Refund,"About 150","None reported","Consumers should immediately stop using the recalled high chairs and contact Bicystar Store for a full refund. Consumers should disassemble the high chair, cut the restraints and fabric seat cover, write “Recall” on the backseat and send photos of the destroyed high chairs to&nbsp;bicystarhighchair@outlook.com.","Sold Online At","Amazon.com from September 1, 2025 through September 30, 2025 for about $76.",,,,China,Retailer:,"Hebei Beihong Kejiyouxiangongsi, dba Bicystar Group Co., Ltd. and Bicystar Store,&nbsp;of China"
26-121,,"November 26, 2025",,"Convertible High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violate Mandatory Standard for High Chairs; Sold on Amazon by Rotinyard","Baby High Chairs (convertible)","This recall involves baby high chairs sold in beige or pink with a matching removable seat cushion, detachable tray, and footrest. The high chairs convert into an infant swing and are reclinable and collapsible. “Product No.: HA-028” is printed on a tracking label on the seatback.","The high chairs violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… chairs because they were sold without the required attached restraint system, posing a deadly fall hazard to babies. In addition, a child’s head can become trapped in the opening between the seat and tray, posing a deadly entrapment hazard.&nbsp;",,,Refund,"About 130","None reported","Consumers should immediately stop using the recalled high chairs and contact Rotinyard for a full refund. Consumers should disassemble the high chairs, cut the restraints and fabric seat cushion insert, and email photos of the destroyed restraints and cushion to&nbsp;trailblazeramz@outlook.com. Once the photos are received, Rotinyard will issue a full refund.","Sold Online At","Amazon.com from March 2025 through June 2025 for about $90.",,,,China,Retailer:,"Rotinyard,of Zhejiang, China"
26-061,,"October 30, 2025",,"5-in-1 Convertible High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violates Mandatory Standard for High Chairs; Imported by Harppa","Harppa 5-in-1 Convertible High Chairs for Babies and Toddlers","This recall involves Harppa branded 5-in-1 convertible high chairs (Model BHC001). Only high chairs with “Model Number BHC001” and “Production Batch Number 202408” printed on a label on the back of the chair are included in the recall. The high chairs have a plastic seat frame, metal legs, a tray, cushioned seat insert and a footrest. The high chair converts into a toddler arm chair, baby dining chair, and baby rocking chair. They were sold in green, pink and gray.&nbsp;","The high chairs pose a risk of serious injury or death to children because they violate the mandatory standard for high chairs. The high chairs were sold without the required attached restraint system, posing a serious risk of falls to children. In addition, a child’s head can become trapped in the opening created between the seat and the tray, posing a deadly entrapment hazard.&nbsp;",,,Replace,"About 4,300","None reported","Consumers should immediately stop using the high chairs and contact Harppa for a replacement high chair. Consumers should email&nbsp;recall@harppababy.com and provide the order number, order date, or photo of the tracking label located on the seatback. Upon verification of the recalled product, Harppa will plan for the replacement high chair to be delivered to the consumer. To destroy the recalled high chair, consumers should disassemble the high chair, cut the restraints and seat cover, and email photos of the disassembled and destroyed parts. Consumers must provide proof that the recalled product has been destroyed.","Sold At","Walmart.com from August 2024 through July 2025 for between $60 and $80.&nbsp;","shanghaiyizhenwenhuayishuyouxiangongsi dba Harppa, of China",,,China,,
25-706,,"June 26, 2025",,"Peg Perego Recalls Tatamia 3-in-1 Recliners, Swings and High Chairs Due to Risk of Suffocation; Violations of Multiple Federal Standards (Recall Alert)","Peg Perego Tatamia 3-in-1 Recliner, Swings and High Chairs","This recall involves Peg Perego Tatamia recliners, swings and high chairs. The products convert from a recliner to a high chair and to an unpowered infant swing, and they were sold in “Ice” (gray) color with model number IMTATANA01BL73. The top of the padded leather seat has the brand name “Peg Perego” printed on it. In high chair mode “Peg Perego” is printed on the front of the tray. The adjustable side of the product has “tatamia” printed on it. Only products manufactured on or after June 23, 2022, and/or purchased on or after November 12, 2022, are included in this recall. The manufacture date in YYYY/MM/DD format and model number can be found on the base of the product.","The 3-in-1 products pose a suffocation risk because they were marketed for infant sleep, and they have an incline angle greater than 10 degrees, in violation of the&nbsp;https://www.federalregister.gov/documents/2021/06/23/2021-12723/safety-… Sleep Products Rule&nbsp;and https://www.cpsc.gov/Newsroom/News-Releases/2023/CPSC-Approves-Rules-Im… Sleep for Babies Act. In addition, the products fail to meet mandatory warning requirements under the high chair standard.",,,Refund,"About 950","None reported","Consumers should immediately stop using the recalled products and contact Peg Perego for a full refund. Consumers should contact Peg Perego for a prepaid shipping label and packaging to send the products back to Peg Perego. Peg Perego and Amazon are contacting all known purchasers directly.","Sold At","Online at PegPerego.com, Amazon.com, Target.com and other websites from November 2022 through January 2025 for about $450.","Peg Perego USA Inc., of Fort Wayne, Indiana","Peg Perego SPA, of Italy",,Italy,,
25-336,,"June 12, 2025",,"Bugaboo North America Recalls Giraffe High Chairs Due to Risk of Serious Injury or Death from Fall Hazard","Giraffe highchairs","This recall involves Bugaboo Giraffe highchairs. The highchairs measure about 30 inches tall, 21 inches wide and 23 inches long. The highchairs were sold in blue, black, natural wood/white, warm wood/gray and white with the item codes listed below. The item codes are located on the bottom of the seat.ColorItem CodeBlue200008005Black200008004Neutral Wood/White200008002Warm Wood/Gray200008003White200008001","The highchairs pose a fall hazard and risk of serious injury or death to babies because the legs of the chair can detach from the frame if the screws connecting the legs are not properly tightened during assembly.",,,Repair,"About 18,280 (In addition, about 2,325 were sold in Canada)","The firm has received 22 reports of the legs of the chair detaching, including 13 reports of minor injuries.","Consumers should immediately stop using the recalled highchairs and contact Bugaboo to receive a free repair kit including an Allen key and new screws to install into the product’s legs.&nbsp;Bugaboo is contacting all known purchasers directly.","Sold At","Nordstrom and other specialty stores nationwide and online at www.bugaboo.com and www.Amazon.com from May 2023 through April 2025 for about $380.","Bugaboo North America Inc., of New York",,,"Czech Republic",,
25-318,,"June 05, 2025",,"Funlio Convertible High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violation of Federal Standards for High Chairs; Sold by Ecogoods","2-in-1 Funlio Convertible Baby High Chairs","This recall involves 2-in-1 Funlio Baby High Chairs that convert into a chair and table for children as they grow. The high chairs are made of natural wood with a tray and removable padded seat insert that is green with a forest theme. “Funlio” is printed on the top front of the high chair and on a tracking label underneath the tray.&nbsp;“Model FL-039” is also printed on the tracking label.","The recalled&nbsp;high chairs pose a deadly entrapment hazard because the opening between the seat and tray is large enough that a child can become entrapped in it. In addition, the child restraint system can fail, posing a fall hazard. These are violations of the federal standards for high chairs.",,,Refund,"About 380","None reported","Consumers should stop using the recalled high chair immediately, disassemble it and contact Ecogoods for information on how to receive a full refund. Consumers will be instructed to cut the restraint straps and email photos of the disassembled and destroyed components to&nbsp;funlioproductrecall@outlook.com.&nbsp;Ecogoods is contacting all known purchasers directly.","Sold At","Amazon.com and Walmart.com from March 2024 through March 2025 for about $100.",,,,China,Seller:,"Shanghai Balejiao E-commerce Co. Ltd., d/b/a Ecogoods, of China"
25-222,,"April 10, 2025",,"Costway Recalls Babyjoy Convertible High Chair Activity Centers Due to Entrapment and Serious Injury Hazards; Violation of Federal Regulations for High Chairs and Stationary Activity Centers","Babyjoy Convertible 6-in-1 High Chair Activity Centers","This recall involves&nbsp;Babyjoy 6-in-1 Convertible High Chair Activity Centers. They were sold in beige&nbsp;(model&nbsp;BB5693YW) and gray (model BB5693GR). The high chair activity centers have a removable adjustable tray, a removable seat cushion, adjustable-height legs and a mesh storage pocket. The seat padding in the stationary, swiveling, activity center mode is white with multicolored dots. “Babyjoy” is printed on the front of the removable tray. “Goplus Corp.” is printed on a label located on the back of the seat. The model number is on the product packaging.","The recalled high chair activity centers violate the federal regulations for high chairs and stationary activity centers.&nbsp; The high chair activity centers pose a deadly entrapment hazard because the leg openings in the seat of the stationary activity center are too wide and a child can become entrapped in it, which is a violation of the federal regulation for stationary activity centers. In addition, the tray can disengage and a child can fall, which is a violation of the federal regulation for high chairs, posing a serious injury hazard.",,,Refund,"About 1,400","None reported","Consumers should immediately stop using the recalled&nbsp;high chair activity centers and contact Costway for a full refund and instructions on how to return or dispose of the product. Consumers can return the product by receiving a prepaid shipping label or provide photos of the destroyed product to&nbsp;recall@costway.com. Upon receipt of the returned product or photos of the destroyed product, Costway will issue the refund. Costway and Amazon are contacting all known purchasers directly.","Sold Online At","Costway.com, Amazon.com and Target.com from November 2021 through June 2024 for between $115 and $200.","Costway, of Fontana, California",,,China,,
25-206,,"April 03, 2025",,"HONEYJOY Recalls Multiple Convertible and Foldable High Chairs Due to Risk of Suffocation; Violation of Federal Regulation for Infant Sleep Products and Inclined Sleepers Ban; Sold Exclusively on Amazon.com","HONEYJOY Convertible and Foldable High Chairs","The recall involves HONEYJOY COMPANY high chairs made of metal and plastic with a cloth seat in various colors/prints. A sewn-in label with the model number and date of manufacture can be found on the top cover of the seat. The following models are included in this recall:Name and Description on Amazon.comModel NumberColor(s)HONEY JOY 3-in-1 Baby Swings, Convertible Highchair for Babies and Toddlers, Compact Portable Infant Swing, Infant Booster Seat w/Double Tray, Music &amp; Wheels, Easy Folding, Double Food TrayBE10019US-PI&nbsp;BE10019US-GRPinkGrayHONEY JOY High Chair with Wheels, Foldable Highchair for Babies and Toddlers, 6 Adjustable Heights, 3 Recline Backrest &amp; Footrest, Double Tray, Quick Fold Portable Highchairs for Boys GirlsAD10025PIAD10025GRAD10025BEPinkGray&nbsp;BeigeHONEY JOY High Chair, Convertible Foldable Highchair for Babies &amp; Toddlers, Adjustable Backrest/Footrest/Seat Height, Double Removable Tray, Detachable PU Cushion, Built-in Front WheelsAD10004GRAD10004LSAD10004BEGrayGreenBeigeHONEY JOY 5-in-1 High Chair, Convertible Highchair for Babies and Toddlers/Table Chair/Booster Seat/Toddler Chair w/Safety Harness, Reclining Backrest, Double Food TrayBB4640REBB4640CFBB4640PUBB4640BLPinkCoffeePurpleBlueHONEY JOY Baby High Chair, Foldable Highchair for Babies and Toddlers, Detachable Trays &amp; PU Leather Seat Cushion, 4 Wheels with Locks&nbsp;AD10007GRAD10009BEGrayBeigeHONEY JOY High Chair, Plastic Foldable Highchair for Babies and Toddlers, 7 Adjustable Heights, 3 Recline Backrest &amp; 4-Position Footrest,&nbsp;Detachable Tray, Portable Highchairs for Boys GirlsAD10014BEAD10014SLBeigeGray","The recalled high chairs pose a suffocation risk because they were marketed for infant sleep and have an incline angle greater than 10 degrees, in violation of the CPSC’s&nbsp;https://www.federalregister.gov/documents/2021/06/23/2021-12723/safety-… Sleep Products Rule and the&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/CPSC-Approves-Rules-Im… Sleep for Babies Act.&nbsp;",,,Refund,"About 2,750","None reported","Consumers should immediately stop using the recalled high chairs and contact HONEYJOY to register for a full refund. Consumers should remove the seat, write “RECALLED” in large letters on the front and rear of the seatback using a marker, and email a photograph of the defaced product to&nbsp;honeyjoyrecall@hotmail.com to&nbsp;obtain a full refund. Consumers will need to follow disposal instructions provided by HONEYJOY. HONEYJOY and Amazon are contacting all known purchasers directly.","Sold At","Online exclusively at Amazon.com from April 2023 through August 2024 for between $79 and $220.",,,"HONEYJOY COMPANY, of Fontana, California",China,,
25-166,,"February 27, 2025",,"Costway Recalls Babyjoy High Chairs Due to Entrapment and Suffocation Hazards; Ban on Inclined Sleepers and Violation of Federal Regulations for High Chairs","Babyjoy High Chairs","This recall involves all Costway’s Babyjoy high chairs. The collapsible high chairs were sold in pink (model BB5656PI), beige (model BB5656BE) and gray (model BB5656GR), and have a footrest, a detachable tray, pink or gray or beige seat cushion with stars, and four static wheels with locks. The high chair can be adjusted for different heights and recline positions. “Babyjoy” is printed on the front of the detachable tray. “Goplus Corp.” is printed on a label located on the back of the high chair’s seat. The model number appears on the product packaging.","The recalled high chairs pose a fatal suffocation risk because they were marketed, intended, or designed for infant sleep, and they have an incline angle greater than 10 degrees in violation of the federal&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/CPSC-Approves-Rules-Im… Sleep for Babies Act. In addition, the high chair poses a deadly entrapment hazard because the opening between the seat and tray is large enough that a child can become entrapped in it, which is a violation of the federal regulations for high chairs.",,,Refund,"About 4,400","None reported","Consumers should immediately stop using the recalled high chairs and contact Costway for a full refund and instructions on how to return or dispose of the high chairs. Consumers can return the product by receiving a prepaid shipping label or provide photos of the destroyed product to&nbsp;recall@costway.com. Upon receipt of the returned product or photos of the destroyed product, Costway will issue the refund. Costway is contacting all known purchasers directly.","Sold Online At","Amazon.com, Walmart.com, Costway.com and Shein.com from November 2022 through November 2024 for between $70 and $110.",,,,China,Retailer:,"Goplus Corporation, dba Costway, of Fontana, California&nbsp;"
24-362,,"September 12, 2024",,"MJKSARE High Chairs Recalled Due to Entrapment and Fall Hazards; Violation of Federal Regulation for High Chairs; Imported by Worldwide Windows; Sold Exclusively on Amazon.com","MJKSARE High Chairs","This recall involves MJKSARE high chairs, model H-601. The high chairs fold open and closed and are covered in green padding. The front tray is green with a small cup holder. There is a tag on the bottom of the seat padding of the high chair with the date of manufacture in the format of “MM/YYYY.” All production dates are included in the recall.","The recalled high chairs violate the regulations for high chairs, as the leg openings on the high chair are too wide, posing an entrapment hazard to infants. Additionally, the high chairs pose a fall hazard because the tray can become disengaged from the product.",,,Refund,"About 4,760","None reported.","Consumers should immediately stop using the high chair, and contact TONGAO&nbsp;for instructions on how to dispose of the chair and receive a full refund. Amazon is contacting all known purchasers directly.","Sold Exclusively At","Online at Amazon.com from February 2024 through March 2024 for about $70.","Worldwide Windows Inc., of China",,,China,Retailer:,"Guangzhoutongaomaoyiyouxiangongsi d/b/a&nbsp;TONGAO, of China"
