"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26342,,"March 26, 2026",,"AirClub Convertible Bassinets Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violates Mandatory Standard for Bedside Sleepers","AirClub Convertible Bassinets","This recall involves AirClub convertible bassinets which convert into a bedside sleeper. The bassinets come in light grey,&nbsp;beige,&nbsp;and purple&nbsp;colors with quilted padding. “Product Model QX-831” is on a label located on the bottom of the convertible bassinets underneath the mattress pad.","The recalled convertible bassinets violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… sleepers because the mechanism used to attach the product to the adult bed creates an opening between the bedside sleeper and mattress, posing a deadly fall hazard to infants.",,,Repair,"About 110,400","None reported","Consumers should stop using the recalled AirClub convertible bassinets immediately and contact AirClub for a replacement attachment mechanism. Consumers will be asked to cut off the two original L-shape straps, throw them away and follow the instructions provided to install the new four straps with T-shaped buckle.","Sold Online At","Amazon.com from October 2023 through December 2025 for between $110 and $130.",,,,China,Retailer:,"Zhangzhou Qiangxing Supply Chain Management Co., Ltd. dba AirClub of China"
26332,,"March 19, 2026",,"Infant Walkers Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violate Mandatory Standard for Infant Walkers; Sold on Amazon by Goregent Official Store","Goregent Infant Walkers","This recall involves&nbsp;Goregent-branded&nbsp;infant walkers. The walkers are green and have a fabric seat with animal print, a rotating activity tray with toys, lights and music, a round base and six wheels. The walkers are collapsible with three adjustable height settings. “Model No: 901,” “SKU: GEBA030AGXP” and “Date of Production: November 2025” are printed on a yellow label located on the walker’s base.","The recalled infant walkers violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… walkers because they can fit through a standard doorway and fail to stop at the edge of a step,&nbsp;posing a risk of serious injury or death due to a fall hazard.",,,Refund,"About 90","None reported","Consumers should immediately stop using the&nbsp;recalled infant walkers and contact Goregent Official Store for a full refund. Consumers will be asked to disassemble the walker, remove the fabric seat, write “Recalled” on the top of the tray in permanent marker and send a photo of the recalled&nbsp;infant walker to&nbsp;GoregentInfantWalkersRecall@outlook.com.","Sold Online At","Amazon.com in January 2026 for about $90.",,,,China,Retailer:,"Dongguanshi Aokaolan Trading Co., Ltd., dba&nbsp;Goregent Official Store, of China"
26288,,"February 26, 2026",,"Trankerloop Baby Bath Seats Recalled Due to Risk of Serious Injury or Death to Children from Drowning; Violates Mandatory Standard for Infant Bath Seats","Trankerloop Baby Bath Seats","This recall involves&nbsp;Trankerloop-branded baby bath seats sold in blue, gray, pink and yellow. The bath seats have two detachable arms that serve as a restraint, four suction cups on the bottom, and come with a cup and a sponge. “PLASTIC STOOL” and “Model: YD-1958” are printed on a tracking label located on the back of the bath seat.","The recalled&nbsp;bath seats violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… bath seats because they are unstable and can tip over while in use, posing a risk of serious injury or death due to drowning.",,,Refund,"About 2,380","None reported","Consumers should immediately stop using the recalled&nbsp;bath seats and contact Trankerloop for a full refund. Consumers will be asked to write “Recalled” on the front of the bath seat in permanent marker, disassemble the bath seat by removing the back rest and arm restraints, cut the four suction cups on the bottom and email a photo of the disassembled recalled bath seat showing the marked front of the seat to&nbsp;hkkll147@outlook.com.","Sold Online At","Amazon.com from August 2025 to October 2025 for about $36.",,,,China,Retailer:,"Shenzhenshirongmanshangmaoyouxiangongsi (Shenzhen Shi Ronmang Trading Co., Ltd.) dba Trankerloop, of China"
26307,,"February 26, 2026",,"Babysense Max View Baby Monitors Recalled Due to Fire Hazard; Manufactured by Hisense Ltd. of Israel","Babysense Max View Baby Monitors","This recall involves the Babysense Max View Baby Monitor with model number VBM55. The reported issue involves the display unit (also referred to as the parent unit) that allows the parents to see and hear the baby (not the camera component that is placed in the child’s bedroom). The display unit has “5.5” HD 1080P” printed on the upper left side of the monitor screen and the “babysense” logo on the lower portion of the monitor screen. The model number, “VBM55RX,” is printed on the product identification label on the back of the display unit.Note: Do not throw this recalled device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The display or “parent” unit of the Max View baby monitors can overheat and/or spark when charging, posing a fire hazard to consumers.",,,Replace,"About 81,800","Hisense has received 11 reports of incidents involving the display unit for the Babysense Max View Baby Monitors. No injuries have been reported.","Consumers should stop using the display unit of the Max View baby monitors immediately and contact Hisense for a free replacement display unit that does not pose a fire hazard.","Sold Online At","Amazon.com, Walmart.com, and babylist.com from January 2023 through December 2025 for between $90 and $180.",,"Hisense Ltd., of Israel",,China,,
26290,,"February 26, 2026",,"Bicystar High Chairs Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violates Mandatory Standard for High Chairs","High Chairs","This recall involves children’s high chairs. The gray high chairs have a metal frame, metal legs, a tray and a cushioned seat cover. “BICYSTAR” is printed on the front of the tray and “Model No.: TB-HC6900” on a label stitched to the back of the high chair’s seat cover.","The high chairs violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… chairs because they were sold without the required attached crotch restraint, posing a deadly fall hazard for children. In addition, a child’s head can become trapped between the seat and the side of the high chair, posing a deadly entrapment hazard.",,,Refund,"About 150","None reported","Consumers should immediately stop using the recalled high chairs and contact Bicystar Store for a full refund. Consumers should disassemble the high chair, cut the restraints and fabric seat cover, write “Recall” on the backseat and send photos of the destroyed high chairs to&nbsp;bicystarhighchair@outlook.com.","Sold Online At","Amazon.com from September 1, 2025 through September 30, 2025 for about $76.",,,,China,Retailer:,"Hebei Beihong Kejiyouxiangongsi, dba Bicystar Group Co., Ltd. and Bicystar Store,&nbsp;of China"
26264,,"February 26, 2026",,"Sanven Technology Recalls Vevor Baby Gates Due to Risk of Serious Injury from Entrapment Hazard; Violates Mandatory Standard for Gates and Enclosures","Vevor Retractable Baby Gates","This recall involves Vevor-branded safety gates.&nbsp;The recalled safety gates were sold in gray, black and white and have a metal frame about&nbsp;34.2 inches high and a retractable screen that extends up to&nbsp;60&nbsp;inches wide (model YJ-3355), 76.8 inches wide (model YJ-3371) or 116 inches wide (model YJ-33110). “Vevor” is printed on a label on the corner post of the gate. The model number is printed on the product packaging and in the user manual.","The recalled gates violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… gates and expandable enclosures because a child’s torso can fit through the opening between the gate and the floor, posing a risk of serious injury due to entrapment.",,,Refund,"About 10,400","None reported","Consumers should stop using the recalled gates immediately and contact Sanven Technology for a full refund. Consumers should destroy the gate by cutting through the mesh and send a photo of the destroyed gate to&nbsp;recalling@vevor.com.","Sold Online At","Amazon.com, Homedepot.com, Vevor.com, Walmart.com and Wayfair.com from December 2023 through December 2025 for between $32 and $53.",,,"Sanven Technology Ltd., dba Vevor, of Rancho Cucamonga, California",China,,
26266,,"February 12, 2026",,"CheerKid Baby Bath Seats Recalled Due to Risk of Serious Injury or Death to Children from Drowning; Violates Mandatory Standard for Infant Bath Seats; Sold on Amazon by Babibaby and Woot","CheerKid Baby Bath Seats","This recall involves&nbsp;CheerKid-branded baby bath seats. The recalled bath seats are sold in gray, pink and light blue. They come&nbsp;with five suction cups on the bottom and have a multi-colored rolling abacus toy at the front. “Model: BH-222” is printed on a label on the back of the bath seat.","The recalled&nbsp;bath seats violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… bath seats because they are unstable and can tip over while in use, posing a risk of serious injury or death due to drowning.",,,Refund,"About 590","None reported","Consumers should immediately stop using the recalled&nbsp;bath seats and contact Babibaby for a full refund. Consumers should write “Recalled” on the front of the bath seat in permanent marker, disassemble the bath seat by removing the back rest and arm restraints, discard the screws, cut the five suction cups on the bottom and send a photo of the disassembled recalled bath seat showing the marked front of the seat to&nbsp;CheerKid-Recall@outlook.com.","Sold Online At","Amazon.com in September 2025 for about $35.",,,,China,Retailers:,"Hangzhouyoupengmaoyiyouxiangongsi&nbsp;(Hangzhou Youpeng Trading Co., Ltd.),&nbsp;dba Babibaby, of China, and Woot, of Carrollton, Texas"
26219,,"January 29, 2026",,"AiTuiTui Pull String Teething Toys Recalled Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys; Sold on Amazon by Vanfun","AiTuiTui Pull String Teething Toys","This recall involves the AiTuiTui Pull String Teething Toy. The teething toy is an off-white disc shape with either a red ball or blue ball in the middle and six long pull string “tentacles” of various colors running through the ball. There are also three free-spinning rings on one side and soft push buttons on the disc. “Model: 688-59” is printed on the product packaging.","The recalled teething toys violate the mandatory standard for toys because the silicone strings are smaller than permitted. The silicone strings can reach the back of the throat and become lodged,&nbsp;posing a risk of respiratory distress, serious choking hazard, and death.",,,Refund,"About 49,410","CPSC is aware of 15 choking incidents and two incidents of children able to bite pieces off the silicone strings.","Consumers should stop using the teething toy immediately and contact Vanfun for full refund remedy. Consumers should cut and discard all string tentacles, write “DESTROYED” on the off-white main body of the toy using a permanent marker, and email a photograph of the destroyed product to&nbsp;recallmls@outlook.com.","Sold Online At","Amazon.com from August 2022 to September 2025 for about $10.",,,,China,Retailer:,"Shenzhen Mailesi Technology Co., Ltd., dba Vanfun, of China"
26215,,"January 22, 2026",,"Mikario Trading Convertible Baby Gyms Recalled Due to Risk of Serious Injury or Death from Suffocation; Violate Mandatory Standard for Infant Support Cushions; Sold on TikTok Shop","Mikario Trading 5-in-1 Convertible Baby Gyms","This recall involves Mikario Trading’s 5-in-1 baby gyms. The recalled baby gyms convert from an activity center to a tummy-time pillow mat. They were sold in pink and have a toy bar, six detachable plush toys and a set of milestone cards. “Baby Gym” and “Item No.: CBPBG-PIN” are printed on a label stitched to the product on the edge of the mat at the bottom.","The recalled baby gyms violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… support cushions because the floor mats can obstruct an infant’s breathing, posing a serious risk of injury or deadly suffocation hazard.",,,Refund,"About 500","None reported","Consumers should immediately stop using the baby gyms and contact Mikario Trading for a full refund. Consumers should remove the toy bar, cut the cushion in half and send a photo of the destroyed gyms to&nbsp;mikariorecall@gmail.com.","Sold Online At","TikTok Shop from May 2025 through October 2025 for about $50.",,"Ningbo Resoul Digital Technology Co., Ltd., of China",,China,Retailer:,"Mikario Trading, Inc., of China"
26209,,"January 22, 2026",,"Aborder Products Recalls Cumbor Retractable Safety Gates Due to Risk of Serious Injury or Death to Children from Entrapment; Violates Mandatory Standard for Gates and Enclosures","Cumbor Retractable Safety Gates","This recall involves&nbsp;Cumbor-branded&nbsp;retractable safety gates.&nbsp;The recalled gates have a metal frame and a mesh screen that measures about 34 inches high with an adjustable width up to 55 inches. The gates were sold in black, gray, and white and came with one or more suction cups. “Model Name: Retractable Safety Gate,” “Model Number: S5V2” and “Cohort Information: A202504S5V2A001” are printed on a label sewn to the mesh screen.","The recalled gates violate the mandatory standard for&nbsp;https://www.federalregister.gov/documents/2020/07/06/2020-12561/safety-… gates and expandable enclosures because a child’s torso can fit through the opening between the gate and the floor, posing a risk of serious injury or death due to entrapment.",,,Refund,"About 4,520","None reported","Consumers should immediately stop using the recalled gates and contact Aborder Products for a full refund. Consumers must destroy the gate by cutting through the mesh and send a photo of the destroyed gate to&nbsp;recall@cumbor.cn.","Sold Online At","Amazon.com in September 2025 for about $40.","Aborder Products of Irving, Texas",,,China,,
